Hash,Date,Author,Message,IsMerge
3c0cddc7c8eb60b470e9519da85896ed7ee0081e,2020-02-12 05:09:46,Gregor Martynus,README: typo in deprecation message (#3268),False
aded7e4f8e57f6f33cf39d65634bfb822bfcb2c8,2020-02-11 22:03:22,Mikeal Rogers,doc: note full deprecation (#3267),False
212570b6971a732b8dd9f3c73354bcdda158a737,2019-05-30 01:23:20,Andres Rojas,"Use nyc instead of istanbul (#3169)

* Use nyc instead of istanbul

istanbul package is not longer maintained

* Have nyc output an lcov coverage report",False
b3a218dc7b5689ce25be171e047f0d4f0eef8919,2019-04-04 06:00:35,odykyi,Update README.md (#3023),False
b0e9abb2f21a47783f96a8a408acc22ec51c1824,2019-04-01 19:16:01,Tadashi Shigeoka,"docs: :memo: Updated the Change Log for v2.88.0 (2018/08/10) (#3008)

Used the following command:

```
github-changes -o request -r request -b master --date-format '(YYYY/MM/DD)' --only-pulls --use-commit-body --auth
```",False
7195b5064aac02532d4546c9ebcd1ec2508e6223,2019-02-26 07:48:29,Jared Suttles,docs: adjust readme timeout argument description to be clearer (#3115),False
a9557c9e7de2c57d92d9bab68a416a87d255cd3d,2019-02-16 04:11:15,Zach Bloomquist,Update outdated link in comment (#3109),False
df346d8531ac4b8c360df301f228d5767d0e374e,2018-12-25 00:56:59,Francis Gulotta,"fix: Clear timeout on `#abort()` (#3090)

* Added `#clearTimeout()` method.
* Call `#clearTimeout()` when aborting request.
* pr review notes",False
670b5630675b838917b62c3addaf8de091970dfe,2018-12-24 00:53:45,grabus,chore: Update to tough-cookie 2.5.0 (#3089),False
be7882b0bb6cdb0971f76c2a5b11d5a8767a22e1,2018-12-13 08:43:05,Ricky 泽阳,optimize:do unnecessary processing when changing options to null (#2972),False
e81c9b1dadffe692ac6797fbf7e0bdba557ebfdc,2018-12-13 03:59:06,Alvin Smith,fix: expression minor bugs (#3074),False
b3926a3a57a61c117295731e4be64005cb88259e,2018-12-01 22:23:58,Francis Gulotta,"Revert ""Workaround for GitHub issue #2807 (#2808)"" (#3075)

This reverts commit 2bc3cc4c99efe51f2667a419c34ff5f0c8408551.",False
2bc3cc4c99efe51f2667a419c34ff5f0c8408551,2018-12-01 21:49:35,Pete Gonzalez,Workaround for GitHub issue #2807 (#2808),False
167065e2350fcb58fbfb7f4d8be03f8a9d30997f,2018-11-24 10:19:11,Francis Gulotta,chore: ensure piped body is exactly the same (#3064),False
81b171b5f714b6f6b3e673f52e0ef1c888f71c3c,2018-11-24 10:18:45,Emmanuel DEMEY,fix: use const instead of var in the README (#3046),False
5ee89063cdbc3d5f27c2fc1c7232ad35148c94ac,2018-11-24 00:33:53,Alessandro Miliucci,Documented response.caseless.get() (#2995),False
39e3d50709edaf79ef035916be852a3fa532ef3b,2018-11-24 00:26:20,Francis Gulotta,add bug label to stale.yml,False
2737161f36c4b7bf1daa969d9cf90426572cb654,2018-11-23 09:32:25,Rolf Koenders,Verify that body is not empty (#2701),False
297e39b1585c51795f60b5d4a7fd56fe0d052aed,2018-11-23 09:21:11,opeer,Update the documentation of timeout to reflect it controls timeout of socket inactivity (#2728),False
641527de7ab9058ce424153bed220c879fb8c081,2018-11-23 09:19:24,Huachao Mao,Update cookie store API link (#2750),False
8d189197531b56b32e2397585bddd2bb22221dc4,2018-11-23 09:09:18,jsx,"Update README to mention util.promisify() (#2824)

Update README.md to mention that util.promisify can be used to convert a regular function that takes a callback to return a promise instead.",False
20314472619e4bd06c9ebefa27215f596366a97b,2018-11-23 09:07:15,Maciej Adwent,Fix link to HAR 1.2 Section Anchor (#2674),False
e476ce5762e752874675a83193121639485045f0,2018-11-23 08:59:48,George Hafiz,"Update README.md (#2644)

Added a paragraph of text to the TLS section, on the use of the `ca` option, explicitly detailing how to get SSL certificates that consist of more than one issuer to successfully verify. It was not made clear that `ca` can be an array, and that in fact this is necessary (AFAICT) when you want to accept a certificate that has been signed by multiple issuers, common in internal environments.",False
418623cf6d786c7f7a87c1285fa8bd97af1cc826,2018-11-22 23:12:46,SneakyFish5,Drop support for Node.js v4 (Fix #2917),False
