Hash,Date,Author,Message,IsMerge
fbceb19bbdad121f0100ec3434258775bd87aeaf,2025-03-21 21:03:46,Mark Wiemer,"docs: fix new website typos, improve readability (#5312)

* Fix typos, improve readability

* Cleanup decision tree intro",False
b0c269616e775689f4f28eedc0a9c5e99048139b,2025-03-18 00:22:55,github-actions[bot],"chore(main): release 11.2.0 (#5283)

Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>",False
81ea6667e9286c55ffa67977448b776a23c6da2d,2025-03-18 00:11:44,Dinika,"feat: enable reporters to show relative paths of tests (#5292)

* DRAFT // Get test file path relative to config

Signed-off-by: Dinika Saxena <dinika@greyllama.cc>

* Use cwd for finding relative path of test fil

* Use relative path options in json and json-stream reporters

* Add integration test for relative paths in xunit reporter

Signed-off-by: Dinika Saxena <dinika@greyllama.cc>

* Make test more complete by checking for non existence

* Keep showing absolute paths in json reporters

* Add doc for showRelativePath xunit reporter option

Signed-off-by: Dinika Saxena <dinika@greyllama.cc>

* Move relative path calculation to the only reporter (xunit) that needs it

* Fix typo in xunit doc for showRelativePaths option

Signed-off-by: Dinika Saxena <dinika@greyllama.cc>

* Clarify why testing for absence of relative paths need quotes

* Copied new docs .md contents to docs-next .mdx

---------

Signed-off-by: Dinika Saxena <dinika@greyllama.cc>
Co-authored-by: Josh Goldberg <git@joshuakgoldberg.com>",False
b1f1cb78b655191b7a43dc962b513bf1b076890c,2025-03-17 23:48:11,Josh Goldberg ✨,"docs: add new website using Astro Starlight (#5246)

* docs: add new website using Astro Starlight

* chore: add docs command to package.json

* Add supporters.js dependencies

* add root-level install to npm run docs

* remove question mark

* docs-next/netlify.toml

* console.log(process.env)

* Don't have /next base in Netlify

* More proper astro.config.mjs

* linting

* Smaller title

* Dark mode fixups

* Slightly darker sl-color-white

* Mentioned this being WIP

* Missing _

* Tweaked notice

* Tweaked notice colors

* Tweaked notice text

* fix /api and /example/tests.html links

* fix: responsive homepage title

* fix: sized responsive homepage title

* Added <Head> override for mocha-thumbnail.svg

* Added starting buttons

* fix: starting buttons config link

* fix: starting buttons 'ing'

* Footer mobile responsiveness, and root netlify.toml revert

* Simpler, more accurate test file

* chore: rm docs-next/pnpm-lock.yaml

* chore: docs-next should not have pnpm at all

* docs: generate, not prebuild

* Apply suggestions from code review

Co-authored-by: Mark Wiemer <7833360+mark-wiemer@users.noreply.github.com>

* First round of feedback updates

* Missed a sidebar heading title

* Update docs-next/src/content/docs/index.mdx

Co-authored-by: Mark Wiemer <7833360+mark-wiemer@users.noreply.github.com>

---------

Co-authored-by: Mark Wiemer <7833360+mark-wiemer@users.noreply.github.com>",False
945d6e3bf5a9de19c3aa26fbdac966a721006b58,2025-03-17 17:58:37,Josh Goldberg ✨,"chore: enabled eslint-plugin-n (#5280)

* chore: enabled eslint-plugin-n

* Actually included rules, without the override

* Revert unrelated formatting changes

* fix test/node-unit/cli/options.spec.js tests

* Use @rollup/plugin-alias for building node: prefixes",False
b720ec1b3ca630a90f80311da391b2a0cdfead4e,2025-01-08 17:22:35,Mark Wiemer,docs: add instructions for API docs (#5287),False
c5a0ef523d52d8cab50e4a9b226af3790f54e75f,2025-01-06 22:20:20,Mark Wiemer,"docs: improve third-party reporter docs (#5285)

* Improve hosted docs for `runnable`

* Document usages of `Runner.constants`

* Update lib/runnable.js

Co-authored-by: Josh Goldberg ✨ <git@joshuakgoldberg.com>

* Update lib/runnable.js

---------

Co-authored-by: Josh Goldberg ✨ <git@joshuakgoldberg.com>",False
75dcf8c6c40ed1ce134ae5e174b6f4c4ca4d8c42,2025-01-03 00:04:29,Eric Cornelissen,"refactor: replace `fs-extra` with newer `fs` built-ins (#5284)

* Replace fs-extra with newer fs built-ins

This updates the codebase to remove two uses of fs-extra by newer fs
built-in functions. The code changes are based on the implementation of
fs-extra@10.1.0, which is the version of fs-extra recorded in the
project's lockfile.

In particular, for `watch.spec.js`, the changes are based on:
https://github.com/jprichardson/node-fs-extra/blob/0220eac966d7d6b9a595d69b1242ab8a397fba7f/lib/remove/index.js#L15

and, also for `helper.js`, the changes are based on:
https://github.com/jprichardson/node-fs-extra/blob/0220eac966d7d6b9a595d69b1242ab8a397fba7f/lib/mkdirs/make-dir.js#L23

* Drop 14 and 16 in mocha.yml

---------

Co-authored-by: Josh Goldberg <git@joshuakgoldberg.com>",False
664e1f49f7ae214a9666c90f388407e9fa100309,2025-01-02 12:12:18,Josh Goldberg ✨,"chore: pin node-lts tests to 22.11.0 (#5279)

* chore: pin node-lts tests to 22.11.0

* Also update other 22s",False
a87fb1130a877649e564e144a73b1716b6296cbd,2025-01-02 12:05:48,github-actions[bot],"chore(main): release 11.1.0 (#5277)

Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>",False
3c191c05d9db1e99aec9b600edac2ce10a6b6d71,2025-01-02 09:57:53,Phillip Barta,"feat: replace `strip-ansi` with `util.stripVTControlCharacters` (#5267)

closes #5265",False
8f1c8d888b0104afcd95ca55a517320399755749,2025-01-02 09:07:43,Josh Goldberg ✨,"feat: bump yargs to 17 (#5165)

* feat: bump yargs to 17

* fix: prefer coerced reporter-option for options

* Aha, fix: process.exit() instead of process.exitCode

* fix: --list-interfaces one-and-done conflict",False
6caa9026eb120b136dc8210614b31310f8bff83b,2024-12-09 20:04:29,github-actions[bot],"chore(main): release 11.0.2 (#5269)

Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>",False
259f8f8ba5709b5d84fa66e17cd10560a11f45c9,2024-12-09 20:01:26,Kevin Locke,"fix: catch exceptions setting Error.stackTraceLimit (#5254)

When node is run with [--frozen-intrinsics], a `TypeError` is thrown
when any intrinsic objects or their properties are modified.  This
occurs when attempting to set `Error.stackTraceLimit`.  To avoid exiting
due to an uncaught exception, catch the exception, debug log it, and
continue.

[--frozen-intrinsics]: https://nodejs.org/api/cli.html#--frozen-intrinsics

Signed-off-by: Kevin Locke <kevin@kevinlocke.name>",False
210d658678a2ec3b6f85c59d4b300b4722671099,2024-12-09 19:56:15,Dinika,"fix: error handling for unexpected numeric arguments passed to cli (#5263)

* Fix 5028 // Numerical arguments to cli throw uncaught error

This PR throws a custom error which is (hopefully) easier to understand
when:

i. a numerical argument is passed to mocha cli
ii. numerical value is used as a value for one of the mocha flags that is not compatible with
numerical values.

Signed-off-by: Dinika Saxena <dinika@greyllama.cc>

* Use type-check to throw error instead of a broad try/catch

Signed-off-by: Dinika Saxena <dinikasaxenas@gmail.com>

* Rename numerical to numeric

Signed-off-by: Dinika Saxena <dinikasaxenas@gmail.com>

* Find flag for mocha cli after parsing yargs

* Find flag for faulty numeric args before yargs parser

Signed-off-by: Dinika Saxena <dinikasaxenas@gmail.com>

* Add js-doc private keyword to fix netlify doc deployment

* [Style] // Reduce code duplication

* Add an ""it"" block for each flag for easier debug-ability

Signed-off-by: Dinika Saxena <dinikasaxenas@gmail.com>

* Remove ? from flag since it cannot be undefined

* Add test cases for empty string checks for isNumeric

* Do not add extra leading -- in error message for flag

* Throw error for numeric positional arg after yargs-parser has parsed args

Signed-off-by: Dinika Saxena <dinikasaxenas@gmail.com>

* Revert timeout and slow as string flags so that they can accept human readable values

Signed-off-by: Dinika Saxena <dinikasaxenas@gmail.com>

---------

Signed-off-by: Dinika Saxena <dinika@greyllama.cc>
Signed-off-by: Dinika Saxena <dinikasaxenas@gmail.com>",False
6f10d12c6c6dfa4df7d5221a3ce688f687aaf320,2024-12-09 19:55:34,Kelechi Ebiri,"docs: replace ""New in"" with ""Since"" in version annotations (#5262)

* docs: replace ""New in"" with ""Since"" in version annotations

* Change version annotations from ""New in vX.Y.Z"" to ""Since vX.Y.Z""
* Align with Node.js documentation style convention
* Improve clarity for users upgrading from older versions

Closes #5166

* Update docs/index.md

Co-authored-by: Josh Goldberg ✨ <git@joshuakgoldberg.com>

* fix typo

---------

Co-authored-by: Josh Goldberg ✨ <git@joshuakgoldberg.com>",False
f729cd09b61bb598409f19b3c76b9e9536812237,2024-12-07 23:18:30,Eric Cornelissen,"docs: correct outdated `status: accepting prs` link (#5268)

Copied the new link from line 82.",False
4c558fb83ca5d7e260961b1ebfddcd377017a608,2024-12-02 21:29:10,github-actions[bot],"chore(main): release 11.0.1 (#5257)

* chore(main): release 11.1.0

* Manually switch to 11.0.1

* Manually switch to 11.0.1

* Manually switch to 11.0.1

---------

Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>
Co-authored-by: Josh Goldberg <git@joshuakgoldberg.com>",False
a5bd707301006a318f8fea205545d8779a1c94c5,2024-12-02 21:08:52,Josh Goldberg,Release v11.0.1,False
43c3157c6ef4f2d4bfecf3ad3a42479fd64187b8,2024-11-23 22:01:58,Josh Goldberg ✨,"feat: bumped glob dependency from 8 to 10 (#5250)

* feat: bumped glob dependency from 8 to 10

* feat: bumped glob dependency from 8 to 10

* test: add --sort to --no-parallel tests

* Switch from --sort in tests to preserving glob@8 sorting

* Update glob sorting comment link

* revert parallel.spec.js changes",False
34e0e52e047a9119aeae9cb5b660a8438656a1e0,2024-11-17 00:30:56,Linda_pp,docs: fix examples for `linkPartialObjects` methods (#5255),False
d3b2c386db74f0d448c7381097381dedb1c996f2,2024-11-11 23:25:30,github-actions[bot],"chore(main): release 11.0.0 prerelease (#5241)

Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>",False
80da25a4132ca50d3ad35087cb62c9b0f8fc946a,2024-11-11 21:16:05,Pelle Wessman,"fix!: adapt new engine range for Mocha 11 (#5216)

* ci(release-please): prereleases

* fix!: adapt new version range

Borrowing the version range of ESLint 9

* test: add engine range validation

---------

Co-authored-by: Josh Goldberg <git@joshuakgoldberg.com>",False
eac87e10f49207a9b388f87d77d198583c6f889a,2024-11-06 23:38:31,Josh Goldberg ✨,docs: downgrade example/tests chai to 4.5.0 (#5245),False
e3da641b08bed20f12df524fc64cb9579f980c1e,2024-10-30 22:15:53,Julian Grinblat,"feat: allow calling hook methods (#5231)

* feat(suite): allow calling hook methods

* add tests and docs

* fix

* address comment",False
05097db4f2e0118f033978b8503aec36b1867c55,2024-10-30 22:01:32,github-actions[bot],"chore(main): release 10.8.2 (#5239)

Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>",False
14e640ee49718d587779a9594b18f3796c42cf2a,2024-10-30 21:56:52,Joy Dey,"docs: indicate 'exports' interface does not work in browsers (#5181)

* docs: indicate 'exports' interface does not work in browsers

* docs: move 'exports' interface browser compatibility note to the exports section

* docs: remove redundant 'exports' interface note from API.md

* Apply suggestions from code review

* Update docs/index.md

---------

Co-authored-by: Josh Goldberg ✨ <git@joshuakgoldberg.com>",False
881e3b0ca2e24284aab2a04f63639a0aa9e0ad1b,2024-10-30 21:16:06,Josh Goldberg ✨,chore: fix docs builds by re-adding eleventy and ignoring gitignore again (#5240),False
f054acc1f60714bbe00ad1ab270fb4977836d045,2024-10-30 02:10:39,Danny Lin,"fix: test link in html reporter (#5224)

* build(deps): bump the github-actions group with 1 update

Bumps the github-actions group with 1 update: [joelwmale/webhook-action](https://github.com/joelwmale/webhook-action).


Updates `joelwmale/webhook-action` from 2.3.2 to 2.4.1
- [Release notes](https://github.com/joelwmale/webhook-action/releases)
- [Commits](https://github.com/joelwmale/webhook-action/compare/2.3.2...2.4.1)

---
updated-dependencies:
- dependency-name: joelwmale/webhook-action
  dependency-type: direct:production
  update-type: version-update:semver-minor
  dependency-group: github-actions
...

Signed-off-by: dependabot[bot] <support@github.com>

* fix: remove bad test link params in HTML reporter

- `grep` may not work as expected if a previous `fgrep` or `invert` parameter exists.

* Update .github/workflows/nightly-site-deploy.yml

---------

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>
Co-authored-by: Josh Goldberg ✨ <git@joshuakgoldberg.com>",False
