Hash,Date,Author,Message,IsMerge
024de32a15aba9fac4002aa8d3c2c076955f44f4,2024-10-27 19:06:01,Mark Wubben,6.2.0,False
563fa5f13a368350e72b3a35d7126b9055439145,2024-10-27 19:00:25,Mark Wubben,"Pre-release updates

* Update dependencies
* Add Node.js >= 23 to test matrix",False
e5b355d498391cf6b2a22f7a135da04dc76dcaa9,2024-10-27 18:55:01,Romain Lebesle,"Link to CLI options to clarify how to run tests in separate processes 

Co-authored-by: Mark Wubben <mark@novemberborn.net>",False
86185b4ef7677cba26ef20a0b57e29fc28db0a24,2024-08-20 19:25:43,bojavou,"Add `filterNodeArgumentsForWorkerThreads` option

This filter function can be used to remove node arguments that may be applied to the main process, but cannot be used to start worker threads. It can only be configured in a JavaScript configuration file. It does not apply when using child processes.

Co-authored-by: Tommy <tmitchell7@uh.edu>
Co-authored-by: Mark Wubben <mark@novemberborn.net>",False
b15df539396a2b7ecfa1c13e8e67d29a66a601bc,2024-08-20 19:10:08,Mark Wubben,"Update dependencies & other general maintenance

* Upgrade XO
* Update TypeScript-related dependencies — Don't upgrade @sindresorhus/tsconfig to v6 since it requires TS 5.5 and we test with 5.2.
* Update dev dependencies
* Update dependencies
* Rebuild lockfile
* Upgrade CodeCov action
* Update reporter log instructions and remove deprecation warnings
* Make Node.js 22.6 the recommended development version
* Remove Node.js 21 from the engines list: It's no longer maintained by Node.js itself, see also <https://github.com/avajs/ava/blob/main/docs/support-statement.md>.",False
f8bf00cd988b5e981b6c7d87523a1e0c5dc947c0,2024-05-06 02:04:07,Mark Wubben,6.1.3,False
002b3a0e936a2e8a7b91395c1fbfd128e2248966,2024-05-06 02:02:41,Silas Rech,"Include Node.js 22 in supported engines and test matrix

Co-authored-by: Mark Wubben <mark@novemberborn.net>",False
ec1a8d2336e55011aaea966c2273bb86e4dafa88,2024-04-18 00:50:18,Turadg Aleahmad,Document `serial` configuration option,False
01ec2804ab9db0ab3ef11e3b5b0c5697d68f8bc5,2024-04-01 00:19:15,Jason Dreyzehner,Add VS Code debugging instructions for Yarn PnP projects,False
5d48c953e5915064adbb9e3222c441833ffdf9fb,2024-02-29 02:24:32,Mark Wubben,6.1.2,False
be5000aac1f7d0e9c44b3beecfb43938dabbd64c,2024-02-29 02:21:55,Richard Gibson,"Fix throws assertions rejecting falsy values when any: true

Fixes #3312",False
1d62caf585594a0a73b368fcfe71a84bd80f86b9,2024-02-28 02:54:21,Notas Hellout,"Upgrade xo to v0.57.0

* Upgrade xo to v0.57.0 and lint sources, tests, and examples

Disabled `unicorn/prevent-abbreviations` because it introduces too many
opinionated changes.

* Update reporter logs which are sensitive to line numbers changing

---------

Co-authored-by: Mark Wubben <mark@novemberborn.net>",False
2e0c2b1cef779e1c092eb60f0a9558bb9cf4c848,2024-01-30 02:36:25,Mark Wubben,6.1.1,False
5161bf77d4cd5ae2fcfd8882177e7d4a4660a9f8,2024-01-30 02:31:59,Mark Wubben,Update dependencies,False
15dddf3ff5407b6941cf320bcb60720ac4d24a9c,2024-01-29 02:03:40,Mark Wubben,"Fix external-assertions snapshot for Node.js 20.11

Vary the snapshots by minor version were appropriate.",False
db0fdb2925cb71b6981316b08d843cc74ff10f4a,2024-01-29 02:03:40,Mark Wubben,"Fix 'previous failures' in watch mode always incrementing

The counters used absolute paths for the test files, but the clearing logic used relative paths. Count using relative paths instead.

The number of previous failures is not observable to the test harness, so this does not come with test coverage.

Fixes #3295.",False
735bf4172a1618d3f843eb97a68bf454aac6a329,2024-01-29 01:16:46,Tommy,Update TypeScript recipe to suggest --import flag and tsimp,False
aae39b20ba3ef80e5bedb1e5882432a3cd7c44eb,2024-01-22 01:33:08,Mark Wubben,6.1.0,False
c3e2c72e0a99738cf4720027243de98ce5bb2d69,2024-01-22 01:24:42,Max Isom,Fix ava/internal ESM type module,False
0a050243ea13df959e6c1536b2513b5fe3557690,2024-01-12 04:03:57,Mark Wubben,"Implement registerCompletionHandler()

Register a function to be called when AVA has completed a test run without uncaught exceptions or unhandled rejections.

Fixes #3279.
 *
 * Completion handlers are invoked in order of registration. Results are not awaited.",False
cc8b8397247a843a178cf732274823b13787c1f6,2024-01-12 04:03:57,Mark Wubben,"Ensure AVA exits with code 1 after an unexpected process.exit() in a test worker

It prints the error, so it should fail as such.",False
35f6c86bcddcd251910775f13c52aded6bbed4e5,2024-01-12 04:03:27,Mark Wubben,"Fix potential bug with watch mode when no failed test files are written

Don't emit the 'touched-files' event, since the watcher assumes that comes with a files value.

Fixes #3285",False
fde8671abdb729e9d7e7a3e29aeaa01937e8611a,2024-01-12 02:26:28,Mark Wubben,Test with AVA 6,False
808a5613c960c8470522147aa0c82f31439a0445,2024-01-12 02:26:28,Mark Wubben,"Change recursive watch mode test detection to be non-persistent

Otherwise, on Linux, it seems the abort signal is disregarded.",False
70a6e257b35d3aab46d5159e611fb4a33ae172f6,2024-01-12 02:26:28,Mark Wubben,"Ensure watcher tests exit cleanly

Always await the last pending state when the watch runs have completed.

Use a teardown hook to ensure the watcher is aborted and has exited before ending the test.

Ensure the item is always an object, even if it didn't come from the generator.",False
783f62b94df69f388b4ae773fbde0a84f06671e2,2023-12-31 01:51:43,Mark Wubben,"Only test reporters on Linux (CI)

These tests are more likely to be flaky on Mac and Windows.",False
9f3bf7e4d3e32f212aa45dc2f5899f24462721d8,2023-12-31 01:28:44,Mark Wubben,"Remove references to older AVA versions

* Remove obsolete recipes

ES modules is supported out of the box.

The React recipe applies to AVA 3.

* Remove code guards against obsolete API usage

* Remove references to older AVA versions from documentation",False
316ffe12cfa29a893fb721403caee6cb62a264f4,2023-12-20 22:19:42,Christian Rackerseder,Fix typo in README,False
5975b602b771e0dc02382d24b65c5561bd5fc7ee,2023-12-07 02:49:04,Mark Wubben,6.0.1,False
32f282fc2163f9088803995536c2b461594e0d66,2023-12-07 02:48:23,Mark Wubben,"Ensure watch mode works outside of its integration tests

Somewhere between developing the watch mode and adding test coverage, a mechanism was introduced to control watch mode in its integration tests. Ironically watch mode relied on this mechanism and no longer worked in actual use.

Fixes #3270",False
cf7a2886bf2717cbb599d195279501be703998de,2023-12-05 03:01:38,Mark Wubben,6.0.0,False
af5684dff58a79da862fa57fad0e946985f730a2,2023-12-05 02:52:11,Mark Wubben,"Don't force-exit after tests have completed

Fixes #1718.

With worker threads, this seems to stop AVA from detecting that the thread has exited, causing a hang.

Also remove flush logic implemented in #1722. Let's hope that current Node.js versions are better at flushing IPC before exiting.",False
