Hash,Date,Author,Message,IsMerge
7652bd471145a4f0af7b50cd377fa827eb0c4f20,2025-03-11 07:43:50,dependabot[bot],"chore: bump axios from 1.7.4 to 1.8.2 (#2538)

Bumps [axios](https://github.com/axios/axios) from 1.7.4 to 1.8.2.
- [Release notes](https://github.com/axios/axios/releases)
- [Changelog](https://github.com/axios/axios/blob/v1.x/CHANGELOG.md)
- [Commits](https://github.com/axios/axios/compare/v1.7.4...v1.8.2)

---
updated-dependencies:
- dependency-name: axios
  dependency-type: direct:development
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
0448170de7e924a168b0f70dabbba93a04dacb20,2025-03-11 05:35:55,dependabot[bot],"chore: bump prismjs from 1.29.0 to 1.30.0 (#2537)

Bumps [prismjs](https://github.com/PrismJS/prism) from 1.29.0 to 1.30.0.
- [Release notes](https://github.com/PrismJS/prism/releases)
- [Changelog](https://github.com/PrismJS/prism/blob/master/CHANGELOG.md)
- [Commits](https://github.com/PrismJS/prism/compare/v1.29.0...v1.30.0)

---
updated-dependencies:
- dependency-name: prismjs
  dependency-type: direct:production
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
e540cab69b425a228a79ac1c98de701efe538d55,2025-03-03 09:06:39,dependabot[bot],"chore: bump globals from 15.8.0 to 16.0.0 (#2536)

Bumps [globals](https://github.com/sindresorhus/globals) from 15.8.0 to 16.0.0.
- [Release notes](https://github.com/sindresorhus/globals/releases)
- [Commits](https://github.com/sindresorhus/globals/compare/v15.8.0...v16.0.0)

---
updated-dependencies:
- dependency-name: globals
  dependency-type: direct:development
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
f1fca2ae28b88ec7e9b9cdd394285ad8f79bd6e0,2025-02-24 07:49:23,Luffy,chore: bump dexie from 4.0.10 to 4.0.11 (#2532),False
fa11b1c27bdb19e56f168dd692810e19c98c9649,2025-02-06 08:48:48,dependabot[bot],"chore: bump glob from 10.4.2 to 11.0.1 (#2529)

Bumps [glob](https://github.com/isaacs/node-glob) from 10.4.2 to 11.0.1.
- [Changelog](https://github.com/isaacs/node-glob/blob/main/changelog.md)
- [Commits](https://github.com/isaacs/node-glob/compare/v10.4.2...v11.0.1)

---
updated-dependencies:
- dependency-name: glob
  dependency-type: direct:development
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
9232ff3fd573e81f25c3d9b2f2f0f4e755951da4,2025-02-06 08:43:16,dependabot[bot],"chore: bump eslint-config-prettier from 9.1.0 to 10.0.1 (#2528)

Bumps [eslint-config-prettier](https://github.com/prettier/eslint-config-prettier) from 9.1.0 to 10.0.1.
- [Release notes](https://github.com/prettier/eslint-config-prettier/releases)
- [Changelog](https://github.com/prettier/eslint-config-prettier/blob/main/CHANGELOG.md)
- [Commits](https://github.com/prettier/eslint-config-prettier/compare/v9.1.0...v10.0.1)

---
updated-dependencies:
- dependency-name: eslint-config-prettier
  dependency-type: direct:development
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
561c777df898a71f8b44b25e5946b56eb1d2c106,2025-01-08 07:45:05,Luffy,fix: parse heading error (#2526),False
a73e07eac06a70f63896e2bb7f0c205534dc21c8,2025-01-06 09:13:40,Luffy,fix: Prevent initial unnecessary IntersectionObserver callback execution (#2523),False
58268632c8ebc2855c38305a05b8326727e388c1,2025-01-05 12:53:17,Luffy,feat: Support dark mode for zoom-image plugin (#2524),False
c18df4c46bcec76dbc16507e8135b929af8fb7f8,2025-01-02 07:51:09,dependabot[bot],chore: bump @rollup/plugin-node-resolve from 15.2.3 to 16.0.0 (#2522),False
