Hash,Date,Author,Message,IsMerge
0ac8ea45350fa5819694a3775641e94b1da3282b,2025-03-22 01:59:19,Francesco Trotta,chore: update dependencies for v9.23.0 release (#19554),False
20591c49ff27435b1555111a929a6966febc249f,2025-03-22 01:43:46,Jenkins,chore: package.json update for @eslint/js release,False
901344f9441c746dfa82261a0d00ff6ef35bcdf1,2025-03-22 01:35:18,renovate[bot],"chore: update dependency @eslint/json to ^0.11.0 (#19552)

Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>",False
557a0d23755f8af4f2aaab751805c7ba6496fc21,2025-03-21 19:54:38,Josh Goldberg ✨,"feat: support TypeScript syntax in no-useless-constructor (#19535)

* feat: support TypeScript syntax in no-useless-constructor

* Remove unnecessary // ...

* re-ran trunk fmt

* git checkout main -- docs/src/_data/further_reading_links.json

* touch up node.value.body check

* ...as well as test newline

* Add meta.dialects, meta.language",False
2357edd09beca1c3f70c92df23f2f99b9ebc7a70,2025-03-21 15:27:48,Francesco Trotta,build: exclude autogenerated files from Prettier formatting (#19548),False
5405939efcfe6a038a7c89354eae9c39c8ff21e3,2025-03-21 14:38:35,Milos Djermanovic,docs: show red underlines in TypeScript examples in rules docs (#19547),False
48b53d6e79945b4f5f66aa2073c2d51ff7896c7c,2025-03-21 02:40:02,Nitin Kumar,"docs: replace var with const in examples (#19539)

* docs: replace var with const in examples

* docs: update examples no-shadow",False
0e20aa72fec53b16a21c42ac9e82969efa8f94d2,2025-03-20 21:56:08,Francesco Trotta,fix: move deprecated `RuleContext` methods to subtype (#19531),False
5228383e3e5c77c7dd07fc9d17b9a57c2ee5bb48,2025-03-20 17:08:44,Milos Djermanovic,chore: fix update-readme formatting (#19544),False
c39d7db7142ebdb8174da00358b80094eaad39c1,2025-03-20 13:39:29,GitHub Actions Bot,docs: Update README,False
a4f87604f4d8d53cb2efbd19aa067606dd1c409e,2025-03-20 05:56:16,Francesco Trotta,docs: revert accidental changes (#19542),False
5439525925dc26b387cc6cebf0b01f42464b4ab0,2025-03-20 05:50:42,Francesco Trotta,chore: format JSON files in Trunk (#19541),False
75adc99eab2878e58fc88f0d4b1b6f9091455914,2025-03-19 21:06:58,Josh Goldberg ✨,"chore: enabled Prettier in Trunk (#19354)

* chore: enable Prettier in Trunk

* chore: remove formatting-related lint rules internally

* Switch .prettierrc.json to organization standard",False
239516856fbf61828f5ac2c8b45e245103c41c04,2025-03-19 20:59:42,Josh Goldberg ✨,chore: added .git-blame-ignore-revs for Prettier via trunk fmt (#19538),False
129882d2fdb4e7f597ed78eeadd86377f3d6b078,2025-03-19 20:48:08,Josh Goldberg ✨,"chore: formatted files with Prettier via trunk fmt (#19355)

* chore: remove formatting-related lint rules internally

* chore: formatted files with Prettier via trunk fmt

* rm .prettierrc.json

* chore: correct comment directives and formatting

* Apply introduced fmt changes post-merge

* Also disable MD010 and MD030 in preparation for 19355

* Also disable MD013 in preparation for 19355

* Updated tools/update-rule-type-headers.js to print tabs

* Fix introduced issues from the main merge

* Manually format conf/*.json

* Switch conf/*.json files back to two spaces, per prettier config

* chore: empty commit to hopefully unblock GitHub",False
1738dbc36ce556745c230d3592e7f1aa673a1430,2025-03-19 20:13:05,Josh Goldberg ✨,chore: temporarily disable prettier in trunk (#19537),False
