Hash,Date,Author,Message,IsMerge
9dec3d8a5c6ff99aec83492fae8ef6b7c305dad5,2025-03-20 23:49:30,Devon Govett,Fix error overlay resolution in REPL,False
432ee45517905d6284adfa7da42feb2ac7afaad6,2025-03-20 23:09:08,Devon Govett,Enable resolving source field in dev dependencies,False
fbcd624f4bca70b48d6c61af8c842591bb1de188,2025-03-20 22:45:53,Devon Govett,Fix MDX inline assets in static RSCs,False
86bddb4031136f4b1b76e1a9a4c8a53ff4280b42,2025-03-19 11:39:47,Devon Govett,v2.14.1,False
e2c2a29825663e851c7fd2f005b068e00beda109,2025-03-19 11:30:25,Devon Govett,fix resolving package self references (#10114),False
801c8eb76eb7a6761aab66655ab5af66358af949,2025-03-18 10:30:34,Devon Govett,Fix MDX in react-static template,False
2306f8f14e8cf7d7c2d94ef5c6e52f9754dd5be8,2025-03-18 09:24:54,Devon Govett,v2.14.0,False
d43108ccd239a490839face07b3a0a5d8423d77d,2025-03-18 09:24:00,Devon Govett,changelog for v2.14.0,False
ee9c3e4c3f4054e66bded33dd92c521e19da6af3,2025-03-14 23:03:25,MO,Add napi-wasm as optional peer dependency in @parcel/rust (#10101),False
0529f29ccca99efcc44e8d219b7aab010dae55fd,2025-03-14 23:02:51,Devon Govett,Fix RSC loading unnecessary bundles (#10104),False
a4249c53abcc8ca546d823f97881f91b7c493385,2025-03-09 00:25:33,Devon Govett,Add keys to static React elements,False
0347d90700af59ea20bc4fa15a015702cdf4e36a,2025-03-08 23:23:53,Devon Govett,disable environment variable replacing in library builds (#10102),False
9d4799570916170906aca646f5c55353f8e19fc5,2025-03-03 09:46:22,Devon Govett,don't minify error overlay,False
e919fadba2ea05205f9c7d0a2b645630400362c3,2025-03-03 09:31:39,Devon Govett,bump @swc/core,False
5cd9bcc8d427185de3254b61472a541cf6236f73,2025-03-03 06:33:35,Devon Govett,fix tests,False
843c0b6821031e0692a9f4e3d36dee258935cf76,2025-03-03 06:22:45,Devon Govett,pre-compile error overlay to avoid duplicate react dependencies,False
1ed569ca9d93901345897df0a27b2ef347983b97,2025-03-02 10:45:01,Devon Govett,Ensure importmap relative paths start with ./,False
7de4f6f86481f28baf7f852275a49717796c7703,2025-03-02 04:45:57,Devon Govett,Add server actions to client rendered RSC example,False
548c70b72ab67f22457e74736d4371d24525fa99,2025-02-24 09:48:37,Devon Govett,Support mixing static and dynamic RSCs (#10093),False
