Hash,Date,Author,Message,IsMerge
79b5471273e66e894304de00e8edce9d43cdd9a2,2025-03-07 22:19:20,Peter Cottle,"Merge pull request #1232 from edcedcedcedc/fix-locale-labels

Fix: Renaming locale labels",True
cf9e1e0858cab855a6b68e7e4c4c70c2ce6c89fc,2025-03-07 21:19:46,Andro Ranogajec,Fix: Renaming locale labels,False
e509d11d2e292ef6269f61cc2d357bd560b8f899,2025-02-28 07:53:45,Peter Cottle,Merge pull request #1231 from CarmenBaquedano/spanish_fix,True
a9e94063c2a164b433f88ffc167e89d021f465fc,2025-02-26 23:42:59,Carmen,"fix: update spanish traslation typo

Replace ""escencialmente"" with ""esencialmente""",False
03ae98a5c55be6b159bb9198792bb25bd795106a,2025-02-21 04:08:33,Peter Cottle,"Merge pull request #1229 from kjhosein/patch-1

Update fakeTeamwork.js instructions for clarity",True
fe9cce860d77122f6c42739f817e48364efbf56a,2025-02-21 01:16:30,Khalid J Hosein,"Update fakeTeamwork.js instructions

After performing this exercise, I felt the instructions needed a bit more clarity. I welcome any improvements on top of my suggestion.",False
ad9b4794d176cec335c19c75a365ddce91af0655,2025-02-05 18:46:47,Peter Cottle,"Merge pull request #1224 from m2gi-glembaa/Issue-Edit-dialogs-in-sandbox-for-tutorial-fr

dialogs(sandbox-tutorial-fr): updated tutorial with Learn Git Branching commands",True
a228e20487de655c6552569c09d4c38f22d4d709,2025-02-05 18:15:31,Aglemba,dialogs(sandbox-tutorial-fr): updated tutorial with Learn Git Branching commands,False
3d1c907ab4bf9b87818c150709a3aebea4e4b362,2025-02-04 03:48:42,Peter Cottle,"Merge pull request #1223 from Asthilde/fix-french-rebase-instructions

fix(rebasing.js): fix the order of instructions displayed in french version",True
b9a055e0c559ff7820e0df0c2fea847e8cc17934,2025-02-03 19:19:24,Noémie_Pellegrin,fix(rebasing.js): fix the display order of the instructions for the rebase on bugFix,False
