Hash,Date,Author,Message,IsMerge
a148e2e5b6eb4cda1d63a21397636a365f5dabbb,2024-06-28 21:17:20,Albin Larsson,"Merge pull request #2800 from amureki/remove-polyfill-io-mentions

Fix #2799 -- drop recommendation of polyfill.io",True
0fca5bf124e2227aea64fc7b222c6ae2f7cac1e9,2024-06-27 17:34:36,Rust Saiargaliev,"Fix #2799 -- drop recommendation of polyfill.io

The polyfill.io domain is shut down due to the reports of a malicious activity
It is better to not recommend/promote it
Refs:
- https://snyk.io/blog/polyfill-supply-chain-attack-js-cdn-assets/
- https://www.sonatype.com/blog/polyfill.io-supply-chain-attack-hits-100000-websites-all-you-need-to-know",False
7c8f833c572182fa9772370a7ffece6fb01b8548,2024-06-19 13:05:44,James Lee,"Add @babel/plugin-transform-nullish-coalescing-operator and @rollup/plugin-babel (#2783)

Co-authored-by: liangyong9098@cvte.com <liangyong9098@cvte.com>",False
0c9759455cbfcce888c66925c3b457ce06cee31e,2023-03-24 17:32:41,Sam Potts,chore(release): 3.7.8,False
ae59c117b57d8ae7c5cc83a99d05d55015010045,2023-03-24 17:05:49,Sam Potts,feat: demo style tweaks,False
8da1a7834217fbe09272c0e701bf5b0e7a395c0d,2023-03-18 18:21:12,Sam Potts,feat: minor style tweaks,False
747c5f5f314745f80490fab02f73578ad0a6f9c9,2023-03-11 17:05:17,Sam Potts,chore(release): 3.7.7,False
39c60498504d53f73d3106ac6bb730ec75c090ef,2023-03-11 16:58:24,Sam Potts,chore: minor syntax tweaks,False
0202e8efb0127c3be6542cd8267edd9c4efee982,2023-03-11 15:45:32,Sam Potts,fix(a11y): leverage native :focus-visible in CSS,False
e17d0220c0ce1af87218adc37eee5b2728416a1e,2023-03-11 15:44:43,Sam Potts,fix(a11y): add timer role to time elements,False
aa4eaec7423ae4a089ad947d71ffe1662694e754,2023-03-11 15:44:13,Sam Potts,fix(a11y): don’t set tabindex on parent container,False
851c39d44ee0f9b4a6b27bde19d1a8ed76502813,2023-03-10 07:08:52,Sam Potts,chore(release): 3.7.6,False
f012a7df36113794444d4a5035f3cdac82a14818,2023-03-10 07:06:06,Sam Potts,fix: revert postinstall script change,False
b8c40ead0a5caec2a5a27077544b7c52d1c383a1,2023-03-10 01:59:25,Sam Potts,chore(release): 3.7.5,False
874bb8d3e8da214983fcf16fc1105564a83c95b4,2023-03-10 01:56:37,Sam Potts,fix: replace pnpm with npm in scripts,False
2b3e483b3678d18783d6c50157bd24e21507d45b,2023-03-09 17:44:21,Sam Potts,chore(release): 3.7.4,False
69ef4ec827430e1fb8f1e5389aedd30cd40f21a7,2023-03-09 17:41:39,Sam Potts,chore: remove unused import,False
d6cc19f2d883e99222329e87af26ac7d36b94758,2023-03-09 17:39:01,Sam Potts,fix: remove erroneous scss,False
d67eea5942d2a318fcf80cde1c9f68e5029e8f47,2023-03-09 17:32:18,Sam Potts,docs: update screenshot,False
c4a566dbff87ef622641d4c48386eed556ccb833,2023-03-09 17:03:37,Sam Potts,feat: remove need for iOS-specific styling,False
185bb4c7cc8523f7a9e67e37520d91abb4b4a188,2023-03-09 17:03:37,Sam Potts,docs: add section on self hosting,False
d9161212ff353a63bd1e9da192d46959a66219f1,2023-03-09 17:03:37,Sam Potts,chore(cspell): add dictionaries,False
ed0b901d1175e1549324526b19ec0fac08b25fe3,2023-03-09 17:03:37,Sam Potts,chore(build): use pnpm instead of yarn,False
62436d8e8e561123e32a21546a138943225f6de7,2023-03-09 17:03:21,Sam Potts,fix: fullscreen improvements for iOS & iPadOS,False
5731245f4f4b71cb894b95fe5b165ab6f8179fa5,2023-03-08 16:30:41,Sam Potts,Update README.md,False
41e2454bd25fa10e2ff89a99e2967b30e4410d60,2023-02-25 07:34:13,Morgan Zolob,"Call preview-thumbnails `listeners()` function on load (#2604)

The listeners() function in preview-thumbnails.js was never called, so some functionality was broken.

Fixes #2210.",False
9248e322fcfac3739df606cfbbcb029dacda1b89,2023-02-25 07:32:30,dependabot[bot],"chore(deps): bump json5 from 1.0.1 to 1.0.2 (#2600)

Bumps [json5](https://github.com/json5/json5) from 1.0.1 to 1.0.2.
- [Release notes](https://github.com/json5/json5/releases)
- [Changelog](https://github.com/json5/json5/blob/main/CHANGELOG.md)
- [Commits](https://github.com/json5/json5/compare/v1.0.1...v1.0.2)

---
updated-dependencies:
- dependency-name: json5
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
fa634a1bbb32e96b948181a85dc14f179b73e10f,2023-02-25 07:32:06,André Melo,"fix(issue #2624): Changing player.embed function call from setVolume to setMuted in src/plugins/Vimeo.js. (#2628)

setVolume(0) used before by muted button, didn't work on IOS

Co-authored-by: Andre Fernandes Cristofolini Melo <andre.melo@dotgroup.com.br>",False
f7d2938f4281cfa385af9221a0bf4e5515e147c5,2022-12-31 05:45:13,Roy Eden,"Fixed event key with space (#2581)

* Fixed event key with space

* Fixed spacebar `event.key` in `controls.js`",False
