Hash,Date,Author,Message,IsMerge
aa654fe082844bdf52871900e3c6c4d70506c3e6,2025-03-07 06:53:52,Sudheer Jonna,Update header section,False
3d7b5d766bc238d1dd9e076e921886a7cea23986,2025-02-22 19:15:06,Sudheer Jonna,"Merge pull request #306 from gautam-paladiya/patch-1

Update - How do you convert date to another timezone in javascript",True
db40f1354d7ae7b93f3f99e3d91f70c5f1731789,2025-02-20 01:14:05,GAUTAM PALADIYA,"Update - How do you convert date to another timezone in javascript

Using the javascript date function to provide expected result",False
17fb078c9d8eae6165f3b131087aaca4f6b70b24,2025-02-19 20:21:57,GitHub Actions,[auto] regenerate table of contents,False
1ebd3e0461bd42b4dc1e716630b7bcfae6f07387,2025-02-19 20:21:42,Sudheer Jonna,"Merge pull request #305 from ckpinguin/master

Some minor changes up to  no. ~160. Feel free to correct or ignore :-)",True
9ea53c9cd380803d7f9807ae66d9f16806686d9b,2025-02-19 20:16:02,GitHub Actions,[auto] regenerate table of contents,False
e43ea98e4cb6fa535033e5a47de5c8b0d3268269,2025-02-19 20:15:40,Sudheer Jonna,"Merge pull request #304 from Jenesh18/feature-module-scope-update

Improved the explanation for 'What is Module Scope in JavaScript?' with better code examples and clear explanations.",True
740109fa4516ab48b2aa3bd994016835def74b14,2025-02-11 20:26:23,Christof Kälin,small corrections and additions for 196 & 197,False
4960823fb5720d0aef98ec876cbdbbf5c4568aad,2025-02-06 22:06:55,Christof Kälin,added info to 163,False
4b99e4ff4339db11dd1686ce39d8281b766596cf,2025-02-06 19:33:17,Christof Kälin,"Update README.md

typo",False
31d08821dacd9a7bfc65a53ecb05b23e4f54f659,2025-02-06 14:55:13,Christof Kälin,"Update README.md

more comment on 136",False
782c68d8556e9f5678fcf2e99254bdf9d1ce32dc,2025-02-06 13:46:01,Christof Kälin,"Update README.md

clarified 133",False
87b60cd666d99766d10e106b56b9e83f2440fd10,2025-02-05 17:13:59,Christof Kälin,"Update README.md

Small clarification on 95",False
7758a308bd7922ac22904cf596a98fa51eb4eee5,2025-02-04 19:15:55,Christof Kälin,"Update README.md

small addition to undefined vs. not declared",False
ff701b6354545bff356324a11c2e5d4a46ab7555,2025-02-03 20:58:56,Christof Kälin,Update README.md,False
