Hash,Date,Author,Message,IsMerge
5da68e068691a7415aa4c6363ce0db22b40126dc,2024-04-26 22:43:34,Peter Briggs,"Fix typo in index.html

wont -> won't",False
fd945d557498b9310d1d9ba20690b492578e0e15,2024-02-29 15:54:14,Falco Nogatz,Add missing < in opening <a> tag,False
784b51663fd05c5e6035d45427c7fdf61af6abd0,2024-02-29 15:54:14,Falco Nogatz,Remove link since in its current form it's invalid HTML,False
f7e19b459eb2d2a1f7d618bf11e55cd540e27ce6,2024-02-12 04:15:25,dependabot[bot],"Bump async from 2.6.3 to 2.6.4 (#859)

Bumps [async](https://github.com/caolan/async) from 2.6.3 to 2.6.4.
- [Release notes](https://github.com/caolan/async/releases)
- [Changelog](https://github.com/caolan/async/blob/v2.6.4/CHANGELOG.md)
- [Commits](https://github.com/caolan/async/compare/v2.6.3...v2.6.4)

---
updated-dependencies:
- dependency-name: async
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
eb3c3301844919666d0f0b356d53795e37473d99,2024-02-07 17:09:11,emmanuel,"Update README.md (#868)

Typo is corrected",False
b3a7a632c7a29a036bc9eedb7c12aed30f538436,2023-12-05 09:55:20,Thomas Reitmayr,"Fix default substep order when no explicit order given (#855) (#856)

This affects both going to the next and previous substep.",False
d0ba7ff88474b989482e52848eac34efece4317a,2023-11-01 04:43:40,Meng Weng Wong,"New ""bookmark"" plugin allows hotkey fast-travel to specific steps (#852)

add plugin bookmark supporting direct access via hotkeys
similar to ""click"", we can now fast travel using hotkeys e.g. 1 2 3",False
9475720f42f8b8ffcf6efafe2f5bf80a9e59fcbd,2023-02-02 17:44:44,Janis Hutz,Plugins documentation / getting started guide (#835),False
4edb9e08a04934c9c30ef8ddafe5a49b2dc686c0,2023-02-02 17:41:33,Janis Hutz,"Getting Started Guide  (#831)

Also update version and copyright information",False
0e26510cb49e146ba4e075eacb696ee1413f85ea,2023-02-02 03:34:44,Janis Hutz,Npm readme (#836),False
7817f12c12b36b1616e050b01e9451ce4de3342b,2022-12-23 20:22:07,Falco Nogatz,Allow multiple data-substep-order with the same value (#825),False
972dc413f37cc6e0593c5ecdb8411f4b2acb2da3,2022-12-19 21:25:17,Falco Nogatz,Add .slideView or .preView classes in speaker console view (#827),False
64d66bf77feda50c6dcdf4d01bf5ef22a79e4df4,2022-12-12 06:33:49,Falco Nogatz,Replace backslashes by slashes in href to CSS (#828),False
b572362c3ad7ac7861c8eb1e5fc0063791a8f104,2022-10-17 06:09:54,thawk,"Auto guess slide title from first non-blank line (#821)

* Auto guess slide title from first non-blank line
* If line content is too long, trim to the first 40 bytes",False
0d52faa60ddbf380e74081f2dfbb391bee87eca5,2022-10-10 01:46:02,thawk,Fix incorrect tag in 3D-positions example (#822),False
f8dd0e92b4b0d553a7926abd9851d2c355257f5a,2022-08-19 14:27:48,thawk,"Improve markdown support. (#817)

1. Support `marked`, you can using it instead. #811
2. Auto trim the indentation, so it can be indent like regular HTML.
   #812",False
dc3cf69747e0b1b0d1fe534509d09c3c48030e68,2022-07-22 00:19:39,thawk,Fix issue that data-x/y/z can't use relative-to-screen-size unit. (#815),False
78c954ac09e7bc93c3f5467755e2cf47f217b188,2022-05-29 14:11:25,Henrik Ingo,"Change default target resolution to HD 1920x1080.

If you aren't setting target width and height explicitly in the root div,
this change will likely affect the size and layout of your presentation
steps. See DOCUMENTATION.md for details and how to fix.",False
20cd28ff00f031a14210248122333f473a023d2b,2022-05-29 14:11:06,Henrik Ingo,Add fsevents to package-lock.json,False
bc3612118a03c7759055404d8677983c5dabb67e,2022-05-02 19:03:18,Christoph Neumann,Fix impress().lib.util reference in blackout.js (#810),False
629f7686f3b95900fc97bcd901cb4d564769c2ee,2022-04-25 00:07:50,thawk,"Add relative move and rotate to rel plugin (#794)

The relative position in rel plugin is currently based on the world coordinate. So for the same effect, like fly in from the right-hand side, we must use different `data-rel-x/y/z` value. Why not let the plugin do the hard part?

So I introduce a `data-rel-position`, when set to `relative`, all relative attribute is based on the position and rotation of previous slide. So no matter the rotation of previous slide, data-rel-x=""1000"" always looks like fly in from the right-hand side. We can change the position and rotation of one slide, and the position of all following slides will be changed too.

When `data-rel-position` is set to `relative`, relative rotation has a clear meaning. It describes the relative rotations between slides. We don't need to set rotations for all slide, setting the key slides is enough. If `data-rel-position` is not relative, the effect of `data-rel-rotate-x/y/z` is not clear, so they're only used when `data-rel-position=""relative""`.

After the introduction of relative rotation, there're 6 attribute that will inherit from previous slide. If we want to set a relative X move, we have to set all other 5 attributes to 0. It's boring. So a `data-rel-clear` is used to set all 6 attributes to 0, and then the value specified in current slide is applied. 

The `examples/3D-positions/index.html` shows some usage. As you can see, the html code of two slide ring is the same, and slides except for the first two in a ring has no position attributes. It work by inheriting the previous one.

This PR invokes a lot math calculations. Basically, the rotation of a slide is translated into the coordinate describing the directions of X/Y/Z axes. And `data-rel-x/y/z` can be easily calculated by that. The rotations is the hard part, I mainly use the algorithm in the Quaternions and spatial rotation - Wikipedia to compose two and more rotations.  I'm not a math guy, hope I don't make much mistakes.",False
d3760dfa0a9c3f19150fea4ec253169aefb1b25d,2022-02-13 16:05:52,thawk,make data-x/y/z supports relative-to-screen size (#804),False
20f74a8b56102dc7e53415b2fc346c8be97d1e0c,2022-01-30 20:47:56,thawk,Fix relative-to-screen-size calculation (h and w)  (#799),False
ecbdd43ca8b9109438f41201a6b013df2d19b331,2022-01-30 20:36:42,hugocvx,use element title as navigation select option text when available (#803),False
4bceee7fd28ea71dfda8c35d7d4e9a9e7e4e059d,2021-08-03 15:52:23,thawk,use decodeURIComponent() to get ID from URL hash,False
63dba5f128fd90eff055a671f6446aec53e8783e,2021-07-29 00:35:03,Ikko Ashimine,Update impress.js,False
762bdd8da47c26675ca4fc5e4cc37c1381e0342d,2021-07-29 00:35:03,Ikko Ashimine,"Fix typo in impress.js

transtion -> transition",False
e366207ceafcbf5c46a2944c82113fa71596462f,2021-07-28 13:31:40,thawk,apply markdown dialect to all elements,False
f68e5fff298469cf9836fa6121f665d8ab323e2a,2021-02-27 18:22:33,Henrik Ingo,"Pimp the cube demo a bit.

I always wanted to do it this way. Today finally had some free time to
hack it this weekend.",False
4c9d2e38aaf1ea038118d4ff6549609df6f1fab3,2021-02-26 19:54:10,Daniel Sockwell,"Add ability to specify substep order (#779)

The substep plugin currently shows each substep in the order in which
it appears in the HTML.  This is not always an ideal fit for some
presentation styles, where it would be helpful to specify a different
order (e.g., to add annotations to an image).

This commit allows users to specify a custom order via the
`data-substep-order` attribute.  Substeps without a
`data-substep-order` attribute are revealed last.

This commit also updates the Substep README to document the new
feature.",False
4229a3e25c84e4276595e1fa984355b7f71d589a,2021-01-04 22:26:36,Bartek Szopka,@bartaz removes himself from tutorial text ;) (#777),False
dcc844678881d88057c8f50a16f1883c8ebf786b,2021-01-04 00:01:27,Henrik Ingo,"Remove npm-update from CircleCI (#778)

It started failing 2 months ago and shouldn't be needed at all.",False
d0c427f172453b6306fb88d638df7d1594c476c8,2020-10-11 13:12:48,kdxcxs,Support Chinese in impressConsole (#774),False
d8e2f17f95d926edefcb25dc6792509fadeb8438,2020-09-13 23:03:02,Tim Gates,"docs: Fix simple typo, glithes -> glitches (#773)",False
ddfb5eb78cbee4b0aeb550c8df4f7764fa9ec9d6,2020-04-10 23:28:05,Henrik Ingo,Release version 1.1.0,False
a5e5b962917f03c53ac269916270189890c38f22,2020-04-05 19:44:18,IngridRegina,"created impress-common.css (#760)

Co-authored-by: Ingrid-Regina Vähi <ingrid.vahi@adm.ee>",False
93b846f07acf33ab080e9c9952f30318af1bd705,2020-04-02 15:51:20,Mohamed Feddad,"Add autoplay URL parameter trigger. (#764)

Resolves #720",False
203b85808cae2fe0ea16ebc2a5de5d56b1649e29,2020-04-01 12:38:27,Mohamed Feddad,"Add markdown dialect attribute. (#763)

Resolves #724",False
ef57b5b471c2631cf089b252922597ea8030750d,2020-03-29 14:02:18,Henrik Ingo,Add `npm run all` to run build+test+lint,False
99484d11b855ebd8d5f726023ca79b88e5c42d18,2020-03-29 13:58:54,Henrik Ingo,"node build.js forgotten in a media plugin update

Fixes b7983887aa8ecb6e496a73975c0d7e18c19c8a47",False
511d87e72661b49c6dd7524f322693e895ec0b99,2020-03-29 13:56:05,Henrik Ingo,Update all node_modules to newest versions,False
d3c467b0fd1cd132c2daf8b632ec4667c6098443,2020-03-23 18:13:12,Henrik Ingo,"Use darker text for classic-slides

Based on audience feedback from conference talk.",False
64dd0f406466420e26e8e360d84bf5c3c2f90e5c,2020-03-23 17:55:15,Henrik Ingo,"Add documentation and examples for scaling to larger screens.

Document all attributes to root element (#impress) in DOCUMENTATION.md.

For the main demo (/index.html) add width, height, max-scale, min-scale
attributes to the main demo. These just use the defaults, except
data-max-scale=""3"" which allows to scale to larger screens (HD, 4K).

For examples/classic-slides, add attributes to root element and set it
to target Full HD 1920 x 1080 resolution. Adjust CSS to match.

Add notification everywhere that defaults will change in 2021.",False
6ced0516f61a2aab75ecaef656366c932e8d00e0,2020-03-22 18:35:43,Eduardo Moreira,Remove bower from project (#762),False
b7983887aa8ecb6e496a73975c0d7e18c19c8a47,2019-12-07 15:10:07,Tobias Bora,media plugin doc: autostart -> autoplay (#748),False
d5bbbc40aef1f30eeda3b7a94023b172a456ea59,2019-10-30 00:34:49,Henrik Ingo,Remove dead link from demo slides,False
934c2266c4e705716f2e7970c6be9f29fdc2202a,2019-09-11 17:12:24,Oliver Sanders,substep: add substep-active class (#741),False
2826aecde7ccf7bdcae30c1dfb2b71210cba68c7,2019-07-06 14:01:46,Jason Cooke,docs: fix typo (#738),False
646fc3c45a529f7a8921bdff6aa569e1e748cb6c,2019-06-27 11:37:33,Henrik Ingo,Fix lint,False
05cf6ffded9537c0c7a4ab88dac7d82334808266,2019-06-27 09:28:48,Henrik Ingo,"rel: In teardown, only reset data-x/y/z attribute if we modified it.

Fixes downstream bug in impressionist:
https://github.com/henrikingo/impressionist/issues/20",False
628b78f3fd9829c66479c1b0bcf91ecfb2427742,2019-06-13 15:57:27,Christoph Weiler,"Bugfix: Scaling bug on swipe, when window scale is not 1 (#736)",False
c61403d57ad4603a45117d893e99877d58530604,2019-04-25 16:11:50,Will Soares,Trigger event on substep enter (#730),False
c6d468ed26360097db79dc6e5343f01c7b3bf762,2019-04-25 13:43:56,drna3r,"Remove ""that""! (#726)",False
3e4d7d2e42be6319ddeb8d69cff17aadfd97ac39,2019-04-11 15:29:38,Henrik Ingo,Small README edit,False
898083116bdc74331520b7d2fedfb0f5aab627f1,2019-04-10 12:51:23,Moritz,"Update dependencies and remove outdated ones (#722)

* Update dependencies and remove outdated ones
* Add package lock file
* Add minified file
* Karma now uses headless browser to run QUnit
* Add to readme that node and npm install is required
* Update license info
* Add lint-new but don't use it in CI yet",False
97546a5536f762ff7948c771896723a48309c89b,2019-02-06 17:06:04,Guilherme I F L Weizenmann,"Add fullscreen with support to remote presentation controller (#712)

- F5 to enter/exit
- Escape to exit",False
6db3f7c87727edd66293d5d42624ecff68e174c5,2019-02-06 16:55:11,Guilherme I F L Weizenmann,"Add support for ""."" to enter/exit blackout screen (#716)

* Add support for ""."" to enter/exit blackout screen

- This is the default on Power Point
- THis add support for remote controller presentation blackout key

* Rename autoplay event call from resume to play",False
6776a0dab76b2c7a1a6dde67ec2135f1dd78f7ff,2019-02-06 16:51:51,Guilherme I F L Weizenmann,"Add pause and play events to autoplay (#713)

This is useful to request pause/resume from other plugins",False
24e28cc43f56a33e9bb331703c4f1f48bd078428,2019-01-02 17:05:27,Henrik Ingo,Fix example in plugin README,False
4d3adb09cd99ce43f93703dee358f29637dddd74,2019-01-02 01:10:46,Henrik Ingo,"Fix form plugin for input fields.

It turns out input[type=text] will only find input fields where
the type attribute is explicitly set to text, but would skip
fields that left it out and defaulted to type text. This changes
to catch all types of input elements.",False
f6f4a36766454a46aca2853804e8d11c2baf3e1c,2018-12-18 01:05:15,Henrik Ingo,"Add test/HOWTO.md (#696)

Note: I will now expect new PRs to add tests for the functionality they
add or change. (Including my own, mostly...)

Fixes #657",False
65870699f43fc90c8250f9fc9a5372e5e635a018,2018-10-22 20:48:53,zilioti,Add keyup event for shift space previous slide (#706),False
dd74d3da0afd68cb9392b2ed830896a153db0100,2018-10-22 20:46:53,zilioti,Add keyup for 191 keyCode (#705),False
4b326d416473d0fedb9fd37d401559d3041a6619,2018-05-08 22:39:58,Henrik Ingo,"Remove edits to example presentation, used to test previous commit",False
194ae3bb62e8e621771c68d025d3ab7889aa712a,2018-05-08 22:31:11,Henrik Ingo,"Fixes to data-rel-to

Fixes 80ffff0e8f603a82d9abb6eb51647732c2c8563e",False
67079504b53c267068d3f6fdd9fb0f50ce3b11f5,2018-05-08 21:48:07,Henrik Ingo,Run node build.js to update js/impress.js from previous commit,False
80ffff0e8f603a82d9abb6eb51647732c2c8563e,2018-05-02 00:27:40,Holger Teichert,rel: Add relative positioning relative to any previous step. (#686),False
c09ce88749f4b6467a701a629b97663b29f628f1,2018-03-17 20:03:34,Holger Teichert,"New plugin: media (#676)

The media plugin can autoplay and autopause/autostop <audio> and <video> elements when entering and leaving a step.

Support for impressConsole: don't autoplay in preview window and play but mute clips in current window.",False
09b5d46c853852828354bf541da4b737d80ab014,2018-03-15 12:27:45,Henrik Ingo,"Update npmignore to publish v1.0.0 on NPM

Fixes #679",False
e8394d0899a887a1f02f34ea4dee3dcbea4f648f,2018-03-09 13:53:25,Henrik Ingo,"Remove beta label from version strings.

Also update Copyright / Author info in core module.",False
436f92e09b45a0deb389d72b634d3123dcd82e64,2018-03-04 18:09:13,Henrik Ingo,"Another attempt at fixing the race issue in tests for Chrome.

Seems like setting iframe.src to a dummy value causes Chrome
to trigger the onLoad event when it 404s.",False
fbb17083d5810171c5e629d33a112b44ae453c84,2018-03-04 17:28:41,Jon Schlinkert,"Fix condition in if statement for data-rotate-order

References #673",False
2a3dd7ebb26e59b433ee61dfa702c48d46f80eb9,2018-02-25 16:42:15,Henrik Ingo,Remove outdated comment about copying syn.js into repo. No longer the case.,False
e52866d1c46228049d7ac6e8860bf8e9145b1467,2018-01-08 03:50:58,Henrik Ingo,"Remove CHANGELOG.md as it was no longer up to date.

For release notes, see Github release page:
https://github.com/impress/impress.js/releases

For absolutely every detail, see Github commits page (or `git log`)
https://github.com/impress/impress.js/commits/master

Fixes #574",False
e99a2df7f24dc59b9b3c594ae093a1d3a4e9ec5d,2018-01-07 22:16:36,Henrik Ingo,Fix typo,False
4b5fe0fbf83e11def59f374d40475eab99947d99,2018-01-06 21:58:34,Henrik Ingo,"Set stopPropagation() event handlers for text input fields

Fixes #525 #140",False
8b14eda98fd3b8de7e541888fc431072df751e51,2018-01-01 19:33:13,Henrik Ingo,"Broader try-catch for handling impress-console-button disappearance (#652)

The previous attempt at merely reading a property of event.target was
incorrect. It worked at first but errors reappeared later, so must
have been a reace.

This wraps the entire navigation event handlers in the try-catch, and
then checks for the very specific error and suppresses it. Other errors
are rethrown as is.",False
