Hash,Date,Author,Message,IsMerge
b6dea023cac0221aca8d6954e1e7b0a50922eec0,2025-03-16 18:55:03,nichoola,fix(isMobilePhone): update Albanian phone number regex for valid formats (#2534),False
a41c8deb6c035c44c23bc1883316e25215acdf54,2025-03-16 18:54:23,DivisionByZero,"feat: isISO15924 (#2215)

* feat: isISO15924

* test: isISO15924

* docs: add isISO15924 to README

* refactor(isISO15924): update data sources

* refactor(isISO15924): update data source reference

* chore: fix linting",False
a7d5cffe8930ad5c734c50d963d3bc544af4d3cc,2025-01-30 16:19:07,Eshwar S Devaramane,"feat(isPhoneNumber): add validation for Macedonian [mk-MK]  phone number (#2500)

* feat: Validation for macedonian phone number added

* fix:refined regex for all mk numbers",False
a1e84761802e050ed5d0e3d138e8f87cc1564860,2025-01-17 22:45:20,Deividas Balandis,fix(isIBAN): adjusting Ireland and Palestine IBAN regex (#2518),False
86911d817fbcd177c295b13d7ca0fdff87341191,2024-11-21 12:48:17,Wei Kang,"feat(isEmail): allow regexp in host_whitelist and host_blacklist (#2494)

* enhance isEmail to have regexp for host_whitelist

* update README.md

* refactor code

* update test name

* fix code logic for checkHost

---------

Co-authored-by: Rubin Bhandari <roobin.bhandari@gmail.com>",False
f54599c8fbd43b1febb2cbc18190107417fbdd5e,2024-11-13 20:26:22,ticmaisdev,refactor: make brazilian postal code separator optional (#2493),False
def7f3e5657a7d1f47c0d5f9315336fed15325ff,2024-11-12 21:59:39,Nana Aboagye,"feat(isMobilePhone): update phone regex for Ghana en-GH (#2362)

Co-authored-by: Rubin Bhandari <roobin.bhandari@gmail.com>",False
a066cd2a67988a43190e434911a3f92f5203c035,2024-11-12 20:41:29,Joel Cheah Ui Yi,Assign check digit to 0 if remainder is 10 (#2492),False
fc31e6e7dccf9af4876bbb0062d0cc0e46f6cb3a,2024-10-27 21:46:43,Kishan Soni,"Disallow mismatching length for isDate (#2481)

Co-authored-by: Rubin Bhandari <roobin.bhandari@gmail.com>",False
a513deb9de36677431c6f0d58563bb75d2b085e6,2024-10-27 21:46:18,Kishan Soni,Update phone regex for Zambia (#2482),False
12b27a28f4044e5ab1bdfaf231d7bf5e24581858,2024-10-16 13:25:27,Suven-p,"feat(isLength): Fix linting and merge errors for #2019 (#2474)

Co-authored-by: Falk Schieber <12937991+pixelbucket-dev@users.noreply.github.com>
Co-authored-by: Vatsal <bevatsal1122@gmail.com>",False
66ddd9c007c017843879fcf11f9d8ca7a24aeb7c,2024-10-01 15:53:38,Aibek Sadraliev,"feat(isMobilePhone): add validation for Kyrgyzstan [ky-KG] mobile phone numbers (#2350)

Co-authored-by: Rubin Bhandari <roobin.bhandari@gmail.com>",False
ff56dcf5ad16abc4127528eafae559ac716863fb,2024-08-25 20:20:42,Panagiotis Papadopoulos,fix(isDate): fix thrown error on certain invalid cases (#2443),False
96ff3b299084b05d52895688f0f7c98c9232047a,2024-08-25 20:20:15,Panagiotis Papadopoulos,test(testFunctions): display stringified arguments in error message (#2442),False
f2b1082fe29e046605aedc7cad91a509653a8621,2024-08-25 01:34:24,Aayush Hindi,fix: hard coded yandex domain conversion (#2441),False
72c4674abbc8d2a31e9aefd4253b84196cf89eb6,2024-08-16 00:19:07,Sabarinathan R,"feat(isLicensePlate): added License Plate Regex for en-SG (#2333)

* added License Plate for en-SG

* feat(isLicensePlate): added License Plate

* test fixes PR#2333

---------

Co-authored-by: Rubin Bhandari <roobin.bhandari@gmail.com>",False
283a6a541a4946c95a28f547265987f00a759f7f,2024-08-15 12:33:00,code0emperor,"fix(isEmail): email starting with double quotes (#2437)

fixes #2432",False
542cfba42c4e3fb1054005fe50da160c59fd3bdd,2024-08-15 12:30:17,Alexander Zinin,feat(isURL): add max_allowed_length option (#2439),False
1f159ead127d56b872f81c21f020c7eeb570e22e,2024-06-23 14:39:36,Arafat Islam,"feat(ulid): ULID validation (#2294)

Co-authored-by: Rubin Bhandari <roobin.bhandari@gmail.com>",False
89e856c778b7aafb532c570d99b61d0d327c6ad4,2024-06-23 00:23:17,Robert Kieffer,fix(isUUID): fully support rfc9562 (#2421),False
f81d85702b06ba1e0a624d4d345cacdde46ed3e0,2024-06-22 23:28:44,Ahmed H. Ismail,"feat(isRgbColor): add `allowSpaces` option to allow/disallow spaces between color values (#2029)

Co-authored-by: Brage Sekse Aarset <brage.aarset@gmail.com>",False
7d5ea2c16e69e122961f5bde518251faa254bf85,2024-06-22 12:19:54,Anthony Nandaa,"fix: remove bounty badge, no support (#2409)

the repo is no longer supported by huntr for bounties.",False
0d6ca5af43ac55a67555599565ff5c8f0841f0e2,2024-06-22 12:18:28,Rubin Bhandari,"fix: spell issues (#2423)

* fix: spell issues

* Update src/lib/isTaxID.js

Co-authored-by: Rik Smale <13023439+WikiRik@users.noreply.github.com>

---------

Co-authored-by: Rik Smale <13023439+WikiRik@users.noreply.github.com>",False
efd5b62c8528e70360f07ff55bff9951d2201dd9,2024-06-22 12:13:39,Ivan Barsukov,"docs: fix typos (#2323)

Co-authored-by: Rubin Bhandari <roobin.bhandari@gmail.com>",False
f73e3f22608b7e8b42aaca427a4399ef8e6deb78,2024-06-22 12:10:38,Derek Parnell,"fix: for #2403 get list of supported countries for passports (#2404)

See https://github.com/validatorjs/validator.js/pull/2404#discussion_r1629324368

---------

Co-authored-by: Derek Parnell <weblighten@gmail.com>",False
6e2f08439fce14e655b9e07163547e5167eddf99,2024-06-22 12:08:49,Jorge Vargas,"feat(isPostalCode): add validation for Colombian postal code (#2415)

Co-authored-by: Jorge Vargas <jorge.vargas@zemoga.com>",False
acdebd613824cfaafc3a1a53cd59837068f37011,2024-06-22 12:08:01,Daniyal Qureshi,fix: handle undefined and null values in isInt and isFloat (#2416),False
2b6b0fa62f5be13202cf376782df154fe42c5c88,2024-06-13 09:25:12,ihmpavel,docs: Readme `isUUID` accepts also v7 (#2418),False
d3db30d50663df18b49d9125f91f552ca27f151b,2024-06-04 13:52:54,Ivan Barsukov,docs: escape and unescape (#2325),False
3448e9d65fb869e461ac50f6f38eaf876e73c571,2024-06-04 13:49:38,Keshav Reddy,fix(isEmail): blacklist character check fix for #2392 (#2414),False
08257b5524bf024d126f06e3ea6ca6d640c6abd2,2024-06-04 11:10:59,Daniyal Qureshi,feat(isIdentityCard): add support for PK(Pakistan) (#2291),False
f2bc5ed0857619bb599caae8c9c5d8fe0ba6181d,2024-06-04 10:59:53,ケーレブ,"feat(isISO4217): update iso4217 currency codes according to wiki (#2332)

* feat: update iso4217 currency codes.

* feat: update tests for currency code changes.

---------

Co-authored-by: Rubin Bhandari <roobin.bhandari@gmail.com>",False
316188dc508501423d1ba4f237bc91167f021cc5,2024-06-03 21:15:37,Rubin Bhandari,doc: add reproduction section on bug_issue template (#2411),False
fa6741aa39fc7177ef5d490276de1503fe8d7564,2024-06-03 09:27:42,Anthony Nandaa,"chore: add rik and rubin as maintainers (#2408)

I would like to propose to add both Rik and Rubin as maintainers
on the project because of their dedication to the project in the
past 2+ years. They have been serving as triagers / moderators
in the past period.

I will also look forward to hand over the keys to a new guard
very soon.

Long live validator.js <3",False
a0acded173b0fb65ed6811588c1e09d6f626168e,2024-06-03 09:10:36,Rubin Bhandari,doc: add link to contributing and licence file (#2413),False
21f33b6a34c3478704c5d27df1b5bd924ad306e0,2024-06-02 01:24:25,salah alhashmi,"chore: add license badges (#1732)

Co-authored-by: Rubin Bhandari <roobin.bhandari@gmail.com>",False
28ff5d3a531aead5b44ad0d72517b0b4739775a6,2024-06-01 23:41:09,ST-DDT,fix(isIBAN): narrow regex for VG (#2339),False
806e55ea55c69a65a86674b23b3b7a8a792465ad,2024-06-01 22:20:16,Rubin Bhandari,Merge pull request #2402 from BibhushanKarki/patch-1,True
