Hash,Date,Author,Message,IsMerge
32acfe8f197dc44c54e8af32c7d7b19aa9d350fb,2024-05-24 23:01:53,Forbes Lindesay,fix: ensure template names are valid identifiers (#3438),False
4767cafea0af3d3f935553df0f9a8a6e76d470c2,2021-12-23 22:45:31,Forbes Lindesay,refactor: convert pug-error to TypeScript (#3355),False
a724446abb128f2a09acb143ce436021be8f6e6a,2021-12-23 22:10:06,Forbes Lindesay,"chore: update character-parser (#3354)

The updated dependency is written in TypeScript, which will help prepare us for converting pug-lexer to TypeScript",False
6cca8f76befe7285eead0416ba4e2dbba825ab65,2021-07-12 19:38:26,Ikko Ashimine,"docs: fix GitHub format in README (#3335)

Github -> GitHub",False
d4b7f602ba38212c2a5ad9431479ce959c466c4b,2021-03-01 00:58:58,tmont,Properly handle errors originating from included files when compileDebug is enabled (#3269),False
d6f06150150bedce460ddf47162ac6dfb46f34fc,2021-03-01 00:55:23,Michael Gerbig,"fix capture groups for ""each"" statements (#3274)",False
73ea7cf4997c792760b62c4a7d82f2e395fdbeb4,2021-03-01 00:52:02,Ryan Hendrickson,fix: keep lexer plugins inside tag interpolation (#3296),False
29a53c5a0ae62e1369091728ede32dc9d473a067,2021-03-01 00:49:44,Hana Shiro,"fix: Fix pug-lexer parsed escaped interpolations incorrectly (#3299)

* fix: Fix escaped interpolation returning `#{}` but not `!{}`

* test: Update test case and snapshot of `pug-lexer/../interpolation.escape.pug`

* style: Fix prettier format",False
60b1b15b79e88166f5b3113d2b07857819c37493,2021-03-01 00:44:15,Forbes Lindesay,"chore: update supported versions (#3315)

I did release a back-ported patch for today's vulnerability, but I don't intend to do so for future vulnerabilities. This updates the security policy to reflect that.",False
991e78f7c4220b2f8da042877c6f0ef5a4683be0,2021-02-28 23:51:18,Forbes Lindesay,fix: sanitise and escape the `pretty` option (#3314),False
06baa525a23049756de9587461d389a12bc12537,2020-05-27 20:50:19,Shinigami,Fix TypeScript and add eachOf token definition (#3262),False
13e46e9fe87220530a066d3aae49131969920275,2020-05-26 04:07:30,Forbes Lindesay,"chore: update with (#3259)

closes #3239",False
c077df4a8d523fe42e52f83b62d3c8ba3822d3b3,2020-05-25 17:46:42,Forbes Lindesay,docs: fix rolling versions link,False
ccba7dae678b1fceaa9b46d9d15a78ee0a2569d4,2020-05-25 04:35:48,Forbes Lindesay,ci: publish canary release (#3257),False
24a7b8eaaf86e53d0581c9e7900fb8fa906c5b2a,2020-05-25 01:08:39,Forbes Lindesay,chore: remove get-repo dependency (#3256),False
8288ec5fa9b28781be78ea4508b3f8c9ca7f9ba1,2020-05-24 16:23:46,Forbes Lindesay,ci: fix some problems with the workflows and add dry-run (#3254),False
eca9342bf3046e5170301d8839df551c1fe35d99,2020-05-20 04:26:13,Forbes Lindesay,"chore: update is-expression and jest (#3253)

This means we pull in the current latest version of acorn, resulting in a single version everywhere, rather than multiple copies of acorn in this repo.",False
9e96bb722c706a2fc89bce401e4ba215205bd9b1,2020-05-20 04:25:21,Alex,feat: allow filters to read non-text include files (#3213),False
bb0731f75813aa30d8e077808b5465a67ef284ef,2020-05-02 07:11:56,zackschuster,chore: use minimal settings to format test files (#3245),False
854fd2f537d060c653dfde3d652ab4350474f90d,2020-05-02 07:10:44,zackschuster,chore: update lockfile (#3246),False
377703bac8314fe8f976cb2139229a42820d27d9,2020-05-02 03:31:05,Forbes Lindesay,blank commit to attach missing change logs (#3244),False
a941dec45fcf7c97f2de28f8490f512fcb5f25be,2020-05-02 02:56:45,Damian Krzeminski,suport minify option in filter using jstransformer (#3084),False
beb375531cbf45e2bc40a0e592cd3250d85e2f0b,2020-05-02 02:40:46,Forbes Lindesay,"feat: improve error message for malformed each (#3185)

It now includes a description of what `each` should look like. We guide people towards the newer `each ... of ...` syntax, rather than the older `each ... in ...` syntax.",False
f97ebdb48c7c0fdd4ff4b7418dcf4e03b27a1405,2020-05-02 02:30:44,Forbes Lindesay,chore: remove lerna as yarn supports enough stuff now (#3243),False
b043d7c0780bb7a242cca1540865d7b6c0bca701,2020-05-01 21:43:53,Chris Harvey,wrap setting err.message with a try/catch (#2996),False
c99cb3c8e3012895e4f66fd6636e246454822012,2020-05-01 21:39:20,Shinigami,TypeScript definitions for pug-tokens (#3196),False
7e0a8e4c44dad0d60f8622b1db018e883dc9a28e,2020-05-01 21:33:55,Birzhan Utegenov,Add the possibility of replacing generateCode function (#3230),False
3920013fcbd0946339839e2d8d9108efda1180c7,2020-05-01 21:26:42,zackschuster,deps: upgrade to latest versions (#3184),False
5741771e8b5cbdf47e1bdf660a72f28546aee0a9,2020-05-01 21:19:16,Tim Gates,"docs: Fix simple typo, overriden -> overridden (#3231)

There is a small typo in packages/pug-load/README.md.

Should read `overridden` rather than `overriden`.",False
27d91bec9c912305745244e7d42040097ae5fd38,2020-04-26 10:03:32,Shinigami,Add Prettier Plugin link (#3206),False
201b9c78431e172dc90a6d258af982e2d1191da8,2019-12-16 22:03:23,Yashar Fakhari,Update dependencies (#3189),False
c915b1c47a041b47f36e8f612f98187f09038241,2019-11-04 22:18:57,Exalyon,docs: Fix typo on the last line of dependencies: pug-walk instead of pug-error (#3194),False
e1b66206064cfba5f4b7cd3fb86c9f1e41c07ef2,2019-11-04 21:14:57,Forbes Lindesay,chore: add security policy,False
48c69c95fa636147bc5b79e0a97a2672e3a6f31c,2019-09-17 14:04:17,Max Rumsey,test: each .. of .. test cases (#3183),False
8aed002922ae870dc5231b8a7bf24570f33bbfb1,2019-09-16 19:41:19,Max Rumsey,feat: add 'each .. of ..' syntax to support all iterable objects (including Arrays) (#3179),False
fa8d287ac7155e4e6dd56ff38f4495135659532a,2019-07-12 13:55:10,dependabot[bot],"Bump stringstream from 0.0.5 to 0.0.6 (#3156)

Bumps [stringstream](https://github.com/mhart/StringStream) from 0.0.5 to 0.0.6.
- [Release notes](https://github.com/mhart/StringStream/releases)
- [Commits](https://github.com/mhart/StringStream/compare/v0.0.5...v0.0.6)

Signed-off-by: dependabot[bot] <support@github.com>",False
1f770d63ea12daf7eb1d83e8561fc4bb82df120b,2019-06-18 15:23:57,Forbes Lindesay,Create FUNDING.yml,False
a0ff15f579e43f44d9e66f5321096bbcb0b603cf,2019-06-18 15:22:34,natmbake,test: inline and include markdown-it should produce the same output (#3119),False
1bdf628a70fda7a0d840c52f3abce54b1c6b0130,2019-06-18 15:14:49,Forbes Lindesay,"Publish

 - pug-attrs@2.0.4
 - pug-code-gen@2.0.2
 - pug-error@1.3.3
 - pug-filters@3.1.1
 - pug-lexer@4.1.0
 - pug-linker@3.0.6
 - pug-load@2.0.12
 - pug-parser@5.0.1
 - pug-runtime@2.0.5
 - pug-strip-comments@1.0.4
 - pug-walk@1.1.8
 - pug@2.0.4",False
5e47ab41336aba783e7701f0616d277ffa52f1d8,2019-06-18 15:11:00,Forbes Lindesay,chore: update yarn.lock,False
8e8eeee0ae373b3d57733f41d1443ea05ea030d4,2019-06-18 15:06:37,Eugene Zhlobo,"Allow spread operator in attributes - N.B. for jsx transform only (#3152)

Currently we only support spread attributes in the transform for producing jsx. Although this adds support for them at the lexer level, they will just be blindly included in the output html when using the standard pug instance. In the future we may introduce proper spread properties to pug as well.",False
4fd657a35e690baf2f742b863fa8fad9e1d2ad45,2019-06-04 15:16:42,Yashar Fakhari,Update repo URLs in packages (#3148),False
8fcf81d4cadf11f9193562117c8fb897f740ce0e,2019-06-03 21:41:20,Yashar Fakhari,"Fix the dependency status badges in README.md of the child packages"" (#3146)

* Fix the dependency status badges in README.MD of the child packages""

* Update Readme.md - add dependency status

Add dependency status from all of the monorepo children to the top level readme.md",False
2f1110ec2ed8656253331e1e4b1b20b9d12185ee,2019-05-21 13:45:09,Patrick Klingemann,bump constantinople to 3.1.2 (#3141),False
6617f5058b95aa71d657336537814a4e9bf5b54a,2019-04-29 14:31:28,Forbes Lindesay,chore: update yarn.lock,False
1d8cd3f3f0a98e6a69b2a2d13b22f32c56219f54,2019-04-24 20:23:23,Sehrope Sarkuni,"Add keywords to pug package.json (#3136)

Adds keywords to the main module package.json to improve searchability.",False
6a634943287e0c2385f9b76d81dba97c13a44f03,2019-02-11 17:16:49,Denis Fäcke,"chore: update dev dependencies (#3108)

* update lerna
* update jest
* update coveralls
* add node 10 & 11 to travis ci
* removed node 4 from travis ci",False
74d26d6c4a5f6002e6d01c10b80248d6c949c1b5,2018-10-24 23:53:06,Forbes Lindesay,"Fix tidelift link

I must have been tired",False
a1b046321416fc4ab297b43083ccda25ec8959e5,2018-09-22 15:11:30,Forbes Lindesay,Add note about tidelift,False
d4f605f14365347a0373ecf72b593ec46e5e7dc7,2018-09-21 18:19:40,Liam Barry,"Include apug version in ports (#3053)

Hi! 

I have started creating (and progressed quite well) a version of pug for a language called RPG (which runs on an IBM i & also works in C and COBOL) and was wondering if is allowed in the ports section?

Thanks for a great project!
Liam Barry",False
f7df3097cb44ca45297f177d4792a2cad148f1f4,2018-08-08 14:40:49,Kyle,Add missing semicolon (#2919),False
2ead38c995a896fe0ff11c9c12f1c1fc25586bcf,2018-08-03 13:05:38,Serge Shkurko,#3040 Fix preLex fire support for plugins (#3041),False
