Hash,Date,Author,Message,IsMerge
43890409c64eec06e379d0ef3c80817bc8470fd1,2025-03-03 13:39:54,Frazer Smith,Added Node.js v22 to Actions (#1001),False
7417541f4543ef5ae782fc449cb14ad294bf40fc,2025-03-03 13:39:17,Frazer Smith,Explicitly declare js module type (#1004),False
7d64af10bc574254cc069b4138944f622c8cb217,2025-01-07 22:53:18,Balearica,6.0.0,False
4fc74ce03f34a9ec400d7a9ce004b4381204702f,2025-01-07 22:42:28,Balearica,Updated readme,False
56d8238f24bb33128cb59ad8291c76919c29324d,2025-01-07 17:03:21,Balearica,Updated output and types per #990 (#992),False
901d881fb3c79df39e63a104c756f05abcba6c7b,2025-01-07 16:47:11,dependabot[bot],"Bump cookie and express (#967)

Bumps [cookie](https://github.com/jshttp/cookie) to 0.7.1 and updates ancestor dependency [express](https://github.com/expressjs/express). These dependencies need to be updated together.


Updates `cookie` from 0.6.0 to 0.7.1
- [Release notes](https://github.com/jshttp/cookie/releases)
- [Commits](https://github.com/jshttp/cookie/compare/v0.6.0...v0.7.1)

Updates `express` from 4.21.0 to 4.21.1
- [Release notes](https://github.com/expressjs/express/releases)
- [Changelog](https://github.com/expressjs/express/blob/4.21.1/History.md)
- [Commits](https://github.com/expressjs/express/compare/4.21.0...4.21.1)

---
updated-dependencies:
- dependency-name: cookie
  dependency-type: indirect
- dependency-name: express
  dependency-type: direct:development
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
72afa3dc38c4a1c693ed9233203d0d7a1f6cf7d0,2025-01-07 16:40:54,Igor Aufricht,"Remove ImageData from ImageLike (#971)

Co-authored-by: Igor Aufricht <igor.aufricht@eligamo.com>",False
c75a380171e2df87e045808cbc16359a6959f08f,2025-01-07 14:41:36,Balearica,Bumped Tesseract.js-core version,False
d196683aee201ff4c05c5b3a718ba6d5a4f82273,2024-12-28 07:04:48,Balearica,Bumped Tesseract.js-core version,False
34ba7d8fd0bc514fff3bf8829ccbea0564ddbe22,2024-12-28 02:45:19,Balearica,Updated JSON exports to match earlier format (#989),False
6299aa558cdf5e087524a3f5afa5e4d9a8eb7f89,2024-12-26 14:40:58,Balearica,Fixed JSON export bugs and added new tests (#987),False
d199d9c6d921f75608f58fcef05c1dd9de2bfa8d,2024-12-25 15:15:21,Balearica,Ran linter on examples,False
564ec5a6fb7860a9552015406ea3e33029721629,2024-12-25 15:02:07,Balearica,Updated Tesseract.js-core to fix memory leak per #977,False
