Hash,Date,Author,Message,IsMerge
447432f4a3b182cd6032930fea0685010e7a9d9c,2025-03-02 17:55:28,dependabot[bot],"Build: Bump the github-actions group with 2 updates

Bumps the github-actions group with 2 updates: [actions/cache](https://github.com/actions/cache) and [github/codeql-action](https://github.com/github/codeql-action).

Closes gh-5636

Updates `actions/cache` from 4.2.0 to 4.2.2
- [Release notes](https://github.com/actions/cache/releases)
- [Changelog](https://github.com/actions/cache/blob/main/RELEASES.md)
- [Commits](https://github.com/actions/cache/compare/1bd1e32a3bdc45362d1e726936510720a7c30a57...d4323d4df104b026a6aa633fdb11d772146be0bf)

Updates `github/codeql-action` from 3.28.8 to 3.28.10
- [Release notes](https://github.com/github/codeql-action/releases)
- [Changelog](https://github.com/github/codeql-action/blob/main/CHANGELOG.md)
- [Commits](https://github.com/github/codeql-action/compare/dd746615b3b9d728a6a37ca2045b68ca76d4841a...b56ba49b26e50535fa1e7f7db0f4f7b4bf65d80d)

---
updated-dependencies:
- dependency-name: actions/cache
  dependency-type: direct:production
  update-type: version-update:semver-patch
  dependency-group: github-actions
- dependency-name: github/codeql-action
  dependency-type: direct:production
  update-type: version-update:semver-patch
  dependency-group: github-actions
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
3a31866b80844d8bb06084c70c5b788dd129f7e8,2025-02-25 04:26:11,Michał Gołębiowski-Owczarek,"Tests: Backport the `hidden=""until-found""` attr tests from 3.x-stable

The `hidden` attribute used to be a boolean one but it gained a new
`until-found` eventually. This led us to change the way we handle boolean
attributes in jQuery 4.0 in gh-5452 to avoid these issues in the future.

We haven't added an explicit test for the `""until-found""` value of the
`hidden` attribute which triggered this decision so far, though.
Backport the test from gh-5607 which landed on `3.x-stable` so that we
do test it.

Closes gh-5619
Ref gh-5452
Ref gh-5607

(cherry picked from commit 85290c59724db69a3967885892d4305d76de058f)",False
eca2a56457e1c40c071aeb3ac87efeb8bbb8013e,2025-02-24 23:13:56,Michał Gołębiowski-Owczarek,"CSS: Fix dimensions of table `<col>` elements

Changes:
1. Fix measurements of `<col span=""2"">` elements in Firefox.
2. Fix measurements of all implicitly sized `<col>` elements in Safari.

Firefox always reports computed width as if `span` was 1. In Safari, computed
width for columns is always 0. Work around both issues by using `offsetWidth`.

In IE/Edge, `<col>` computed width is `""auto""` unless `width` is set explicitly
via CSS so measurements there remain incorrect. Because of the lack of a proper
workaround, we accept this limitation.

Fixes gh-5628
Closes gh-5630
Ref gh-5634",False
e2fe97b7f15cf5ee2e44566b381f7bf214e491b1,2025-02-24 22:57:30,Michał Gołębiowski-Owczarek,"Core: Remove obsolete workarounds, update support comments

Closes gh-5625",False
7c123dec4b96e7c3ce5f5a78e828c8aa335bea98,2025-02-19 01:24:09,Michał Gołębiowski-Owczarek,"Event: Use `.preventDefault()` in beforeunload

So far, a result of an event handler has been assigned to the `returnValue`
of the original event by jQuery. Initially, one could pass a message the browser
will then display to the user. Since that got abused a lot, every browser
stopped using the provided string and they all now provide a generic message.
From the browsers supported in v4, only IE 11 would still display the message.

Incidentally, IE 11 is the only browser from our supported ones which respects
the value returned from a beforeunload handler attached by `addEventListener`;
other browsers do so only for inline handlers, so not setting the value directly
shouldn't reduce any functionality.

This looks like a good moment to stop passing the message through and just call
`event.preventDefault()` without extra checks which is shorter. This used to
not work in Chrome but it got implemented in Chrome 119.

Unfortunately, it's hard to test this event in unit tests since it blocks page
dismissal.

Closes gh-5626",False
047f8683cba4efa800436de9fa30e44a32c20947,2025-02-18 23:32:11,Timmy Willison,"Build: upgrade dependencies, including jtr@0.2.5

Closes gh-5631",False
667321eb2d1c4328b993c25fbe2342a01ec4f87f,2025-02-02 17:55:54,dependabot[bot],"Build: Bump the github-actions group with 2 updates

Bumps the github-actions group with 2 updates: [actions/setup-node](https://github.com/actions/setup-node) and [github/codeql-action](https://github.com/github/codeql-action).

Closes gh-5621

Updates `actions/setup-node` from 4.1.0 to 4.2.0
- [Release notes](https://github.com/actions/setup-node/releases)
- [Commits](https://github.com/actions/setup-node/compare/39370e3970a6d050c480ffad4ff0ed4d3fdee5af...1d0ff469b7ec7b3cb9d8673fde0c81c44821de2a)

Updates `github/codeql-action` from 3.28.1 to 3.28.8
- [Release notes](https://github.com/github/codeql-action/releases)
- [Changelog](https://github.com/github/codeql-action/blob/main/CHANGELOG.md)
- [Commits](https://github.com/github/codeql-action/compare/b6a472f63d85b9c78a3ac5e89422239fc15e9b3c...dd746615b3b9d728a6a37ca2045b68ca76d4841a)

---
updated-dependencies:
- dependency-name: actions/setup-node
  dependency-type: direct:production
  update-type: version-update:semver-minor
  dependency-group: github-actions
- dependency-name: github/codeql-action
  dependency-type: direct:production
  update-type: version-update:semver-patch
  dependency-group: github-actions
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
098591e6fd3222e64b59af92c8849f5d8963d43c,2025-01-14 15:59:12,dependabot[bot],"Build: Bump the github-actions group across 1 directory with 2 updates

Bumps the github-actions group with 2 updates in the / directory: [actions/cache](https://github.com/actions/cache) and [github/codeql-action](https://github.com/github/codeql-action).

Closes gh-5608

Updates `actions/cache` from 4.1.2 to 4.2.0
- [Release notes](https://github.com/actions/cache/releases)
- [Changelog](https://github.com/actions/cache/blob/main/RELEASES.md)
- [Commits](https://github.com/actions/cache/compare/6849a6489940f00c2f30c0fb92c6274307ccb58a...1bd1e32a3bdc45362d1e726936510720a7c30a57)

Updates `github/codeql-action` from 3.27.5 to 3.28.1
- [Release notes](https://github.com/github/codeql-action/releases)
- [Changelog](https://github.com/github/codeql-action/blob/main/CHANGELOG.md)
- [Commits](https://github.com/github/codeql-action/compare/f09c1c0a94de965c15400f5634aa42fac8fb8f88...b6a472f63d85b9c78a3ac5e89422239fc15e9b3c)

---
updated-dependencies:
- dependency-name: actions/cache
  dependency-type: direct:production
  update-type: version-update:semver-minor
  dependency-group: github-actions
- dependency-name: github/codeql-action
  dependency-type: direct:production
  update-type: version-update:semver-minor
  dependency-group: github-actions
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
733e62d20328dd3e5b226fd9793b159637d922b8,2025-01-14 09:06:10,Timmy Willison,"Tests: migrate test runner to jquery-test-runner

Closes gh-5604",False
4466770992d5833358169d0248c4deedadea1a96,2024-12-16 23:30:50,Michał Gołębiowski-Owczarek,"Tests: Add custom attribute getter tests to the selector module

Sizzle & the `3.x-stable` branch have tests adding a custom attribute getter
to `attrHandle` and checking if selection takes it into account. `attrHandle`
was removed from the `4.x` line so the tests were not ported to the `main`
branch, but the `4.x` line takes standard jQuery attribute getters into account
instead and we should test for that.

Backport the `3.x-stable` selector tests for custom attribute getters, changing
`jQuery.expr.attrHandle` to `jQuery.attrHooks`.

Closes gh-5568",False
