Hash,Date,Author,Message,IsMerge
0a56558b5fd34f8e11167202ed7bdca4f6a77d2f,2025-03-18 16:40:47,dependabot[bot],"Build(deps-dev): Bump the development-dependencies group across 1 directory with 9 updates (#41305)

Bumps the development-dependencies group with 9 updates in the / directory:

| Package | From | To |
| --- | --- | --- |
| [@babel/core](https://github.com/babel/babel/tree/HEAD/packages/babel-core) | `7.26.9` | `7.26.10` |
| [@rollup/plugin-commonjs](https://github.com/rollup/plugins/tree/HEAD/packages/commonjs) | `28.0.2` | `28.0.3` |
| [@rollup/plugin-node-resolve](https://github.com/rollup/plugins/tree/HEAD/packages/node-resolve) | `16.0.0` | `16.0.1` |
| [autoprefixer](https://github.com/postcss/autoprefixer) | `10.4.20` | `10.4.21` |
| [postcss-cli](https://github.com/postcss/postcss-cli) | `11.0.0` | `11.0.1` |
| [rollup](https://github.com/rollup/rollup) | `4.34.9` | `4.36.0` |
| [shelljs](https://github.com/shelljs/shelljs) | `0.8.5` | `0.9.2` |
| [stylelint](https://github.com/stylelint/stylelint) | `16.15.0` | `16.16.0` |
| [stylelint-config-twbs-bootstrap](https://github.com/twbs/stylelint-config-twbs-bootstrap) | `15.1.0` | `16.0.0` |



Updates `@babel/core` from 7.26.9 to 7.26.10
- [Release notes](https://github.com/babel/babel/releases)
- [Changelog](https://github.com/babel/babel/blob/main/CHANGELOG.md)
- [Commits](https://github.com/babel/babel/commits/v7.26.10/packages/babel-core)

Updates `@rollup/plugin-commonjs` from 28.0.2 to 28.0.3
- [Changelog](https://github.com/rollup/plugins/blob/master/packages/commonjs/CHANGELOG.md)
- [Commits](https://github.com/rollup/plugins/commits/commonjs-v28.0.3/packages/commonjs)

Updates `@rollup/plugin-node-resolve` from 16.0.0 to 16.0.1
- [Changelog](https://github.com/rollup/plugins/blob/master/packages/node-resolve/CHANGELOG.md)
- [Commits](https://github.com/rollup/plugins/commits/node-resolve-v16.0.1/packages/node-resolve)

Updates `autoprefixer` from 10.4.20 to 10.4.21
- [Release notes](https://github.com/postcss/autoprefixer/releases)
- [Changelog](https://github.com/postcss/autoprefixer/blob/main/CHANGELOG.md)
- [Commits](https://github.com/postcss/autoprefixer/compare/10.4.20...10.4.21)

Updates `postcss-cli` from 11.0.0 to 11.0.1
- [Release notes](https://github.com/postcss/postcss-cli/releases)
- [Changelog](https://github.com/postcss/postcss-cli/blob/master/CHANGELOG.md)
- [Commits](https://github.com/postcss/postcss-cli/compare/11.0.0...11.0.1)

Updates `rollup` from 4.34.9 to 4.36.0
- [Release notes](https://github.com/rollup/rollup/releases)
- [Changelog](https://github.com/rollup/rollup/blob/master/CHANGELOG.md)
- [Commits](https://github.com/rollup/rollup/compare/v4.34.9...v4.36.0)

Updates `shelljs` from 0.8.5 to 0.9.2
- [Release notes](https://github.com/shelljs/shelljs/releases)
- [Changelog](https://github.com/shelljs/shelljs/blob/master/CHANGELOG.md)
- [Commits](https://github.com/shelljs/shelljs/compare/v0.8.5...v0.9.2)

Updates `stylelint` from 16.15.0 to 16.16.0
- [Release notes](https://github.com/stylelint/stylelint/releases)
- [Changelog](https://github.com/stylelint/stylelint/blob/main/CHANGELOG.md)
- [Commits](https://github.com/stylelint/stylelint/compare/16.15.0...16.16.0)

Updates `stylelint-config-twbs-bootstrap` from 15.1.0 to 16.0.0
- [Release notes](https://github.com/twbs/stylelint-config-twbs-bootstrap/releases)
- [Commits](https://github.com/twbs/stylelint-config-twbs-bootstrap/compare/v15.1.0...v16.0.0)

---
updated-dependencies:
- dependency-name: ""@babel/core""
  dependency-type: direct:development
  update-type: version-update:semver-patch
  dependency-group: development-dependencies
- dependency-name: ""@rollup/plugin-commonjs""
  dependency-type: direct:development
  update-type: version-update:semver-patch
  dependency-group: development-dependencies
- dependency-name: ""@rollup/plugin-node-resolve""
  dependency-type: direct:development
  update-type: version-update:semver-patch
  dependency-group: development-dependencies
- dependency-name: autoprefixer
  dependency-type: direct:development
  update-type: version-update:semver-patch
  dependency-group: development-dependencies
- dependency-name: postcss-cli
  dependency-type: direct:development
  update-type: version-update:semver-patch
  dependency-group: development-dependencies
- dependency-name: rollup
  dependency-type: direct:development
  update-type: version-update:semver-minor
  dependency-group: development-dependencies
- dependency-name: shelljs
  dependency-type: direct:development
  update-type: version-update:semver-minor
  dependency-group: development-dependencies
- dependency-name: stylelint
  dependency-type: direct:development
  update-type: version-update:semver-minor
  dependency-group: development-dependencies
- dependency-name: stylelint-config-twbs-bootstrap
  dependency-type: direct:development
  update-type: version-update:semver-major
  dependency-group: development-dependencies
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
1b869e889aaae065deb882fe419dcfc3973ca25a,2025-03-15 13:04:37,Aneke Oluebube Samuel,"Docs: Align deprecated message with existing migration guide format (#41299)

Co-authored-by: Julien Déramond <juderamond@gmail.com>",False
53171ad564b2d01bff7613d7210e93a5197a367b,2025-03-09 13:55:50,Marios Zindilis,"Docs: fix typo in Customize > Sass page (#41281)

Co-authored-by: Julien Déramond <juderamond@gmail.com>",False
5605e963c08658f3c3822c5343a933fa23e5e849,2025-03-07 22:23:12,Julien Déramond,Docs: mention removal of `util.js` in migration guide (#41187),False
bafa9d25ed38b8742a3f52bc1401d46b71960153,2025-03-04 20:16:05,dependabot[bot],"Build(deps-dev): Bump the development-dependencies group across 1 directory with 5 updates (#41265)

* Build(deps-dev): Bump the development-dependencies group across 1 directory with 5 updates

Bumps the development-dependencies group with 5 updates in the / directory:

| Package | From | To |
| --- | --- | --- |
| [@docsearch/js](https://github.com/algolia/docsearch/tree/HEAD/packages/docsearch-js) | `3.8.3` | `3.9.0` |
| [hugo-bin](https://github.com/fenneclab/hugo-bin) | `0.141.1` | `0.142.0` |
| [postcss](https://github.com/postcss/postcss) | `8.5.2` | `8.5.3` |
| [rollup](https://github.com/rollup/rollup) | `4.34.8` | `4.34.9` |
| [stylelint](https://github.com/stylelint/stylelint) | `16.14.1` | `16.15.0` |



Updates `@docsearch/js` from 3.8.3 to 3.9.0
- [Release notes](https://github.com/algolia/docsearch/releases)
- [Changelog](https://github.com/algolia/docsearch/blob/main/CHANGELOG.md)
- [Commits](https://github.com/algolia/docsearch/commits/v3.9.0/packages/docsearch-js)

Updates `hugo-bin` from 0.141.1 to 0.142.0
- [Release notes](https://github.com/fenneclab/hugo-bin/releases)
- [Commits](https://github.com/fenneclab/hugo-bin/compare/v0.141.1...v0.142.0)

Updates `postcss` from 8.5.2 to 8.5.3
- [Release notes](https://github.com/postcss/postcss/releases)
- [Changelog](https://github.com/postcss/postcss/blob/main/CHANGELOG.md)
- [Commits](https://github.com/postcss/postcss/compare/8.5.2...8.5.3)

Updates `rollup` from 4.34.8 to 4.34.9
- [Release notes](https://github.com/rollup/rollup/releases)
- [Changelog](https://github.com/rollup/rollup/blob/master/CHANGELOG.md)
- [Commits](https://github.com/rollup/rollup/compare/v4.34.8...v4.34.9)

Updates `stylelint` from 16.14.1 to 16.15.0
- [Release notes](https://github.com/stylelint/stylelint/releases)
- [Changelog](https://github.com/stylelint/stylelint/blob/main/CHANGELOG.md)
- [Commits](https://github.com/stylelint/stylelint/compare/16.14.1...16.15.0)

---
updated-dependencies:
- dependency-name: ""@docsearch/js""
  dependency-type: direct:development
  update-type: version-update:semver-minor
  dependency-group: development-dependencies
- dependency-name: hugo-bin
  dependency-type: direct:development
  update-type: version-update:semver-minor
  dependency-group: development-dependencies
- dependency-name: postcss
  dependency-type: direct:development
  update-type: version-update:semver-patch
  dependency-group: development-dependencies
- dependency-name: rollup
  dependency-type: direct:development
  update-type: version-update:semver-patch
  dependency-group: development-dependencies
- dependency-name: stylelint
  dependency-type: direct:development
  update-type: version-update:semver-minor
  dependency-group: development-dependencies
...

Signed-off-by: dependabot[bot] <support@github.com>

* @stylistic/stylelint-plugin 3.1.2

* Up more

---------

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>
Co-authored-by: XhmikosR <xhmikosr@gmail.com>",False
90acd33350e1356194a364595cb07b65f24bd611,2025-02-18 20:05:57,dependabot[bot],"Build(deps-dev): Bump the development-dependencies group across 1 directory with 7 updates (#41234)

Bumps the development-dependencies group with 7 updates in the / directory:

| Package | From | To |
| --- | --- | --- |
| [@babel/core](https://github.com/babel/babel/tree/HEAD/packages/babel-core) | `7.26.0` | `7.26.9` |
| [@babel/preset-env](https://github.com/babel/babel/tree/HEAD/packages/babel-preset-env) | `7.26.0` | `7.26.9` |
| [hugo-bin](https://github.com/fenneclab/hugo-bin) | `0.139.0` | `0.141.1` |
| [postcss](https://github.com/postcss/postcss) | `8.5.1` | `8.5.2` |
| [rollup](https://github.com/rollup/rollup) | `4.31.0` | `4.34.8` |
| [stylelint](https://github.com/stylelint/stylelint) | `16.13.2` | `16.14.1` |
| [terser](https://github.com/terser/terser) | `5.37.0` | `5.39.0` |



Updates `@babel/core` from 7.26.0 to 7.26.9
- [Release notes](https://github.com/babel/babel/releases)
- [Changelog](https://github.com/babel/babel/blob/main/CHANGELOG.md)
- [Commits](https://github.com/babel/babel/commits/v7.26.9/packages/babel-core)

Updates `@babel/preset-env` from 7.26.0 to 7.26.9
- [Release notes](https://github.com/babel/babel/releases)
- [Changelog](https://github.com/babel/babel/blob/main/CHANGELOG.md)
- [Commits](https://github.com/babel/babel/commits/v7.26.9/packages/babel-preset-env)

Updates `hugo-bin` from 0.139.0 to 0.141.1
- [Release notes](https://github.com/fenneclab/hugo-bin/releases)
- [Commits](https://github.com/fenneclab/hugo-bin/compare/v0.139.0...v0.141.1)

Updates `postcss` from 8.5.1 to 8.5.2
- [Release notes](https://github.com/postcss/postcss/releases)
- [Changelog](https://github.com/postcss/postcss/blob/main/CHANGELOG.md)
- [Commits](https://github.com/postcss/postcss/compare/8.5.1...8.5.2)

Updates `rollup` from 4.31.0 to 4.34.8
- [Release notes](https://github.com/rollup/rollup/releases)
- [Changelog](https://github.com/rollup/rollup/blob/master/CHANGELOG.md)
- [Commits](https://github.com/rollup/rollup/compare/v4.31.0...v4.34.8)

Updates `stylelint` from 16.13.2 to 16.14.1
- [Release notes](https://github.com/stylelint/stylelint/releases)
- [Changelog](https://github.com/stylelint/stylelint/blob/main/CHANGELOG.md)
- [Commits](https://github.com/stylelint/stylelint/compare/16.13.2...16.14.1)

Updates `terser` from 5.37.0 to 5.39.0
- [Changelog](https://github.com/terser/terser/blob/master/CHANGELOG.md)
- [Commits](https://github.com/terser/terser/compare/v5.37.0...v5.39.0)

---
updated-dependencies:
- dependency-name: ""@babel/core""
  dependency-type: direct:development
  update-type: version-update:semver-patch
  dependency-group: development-dependencies
- dependency-name: ""@babel/preset-env""
  dependency-type: direct:development
  update-type: version-update:semver-patch
  dependency-group: development-dependencies
- dependency-name: hugo-bin
  dependency-type: direct:development
  update-type: version-update:semver-minor
  dependency-group: development-dependencies
- dependency-name: postcss
  dependency-type: direct:development
  update-type: version-update:semver-patch
  dependency-group: development-dependencies
- dependency-name: rollup
  dependency-type: direct:development
  update-type: version-update:semver-minor
  dependency-group: development-dependencies
- dependency-name: stylelint
  dependency-type: direct:development
  update-type: version-update:semver-minor
  dependency-group: development-dependencies
- dependency-name: terser
  dependency-type: direct:development
  update-type: version-update:semver-minor
  dependency-group: development-dependencies
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
669079dff60b3e7b51e89ed4013d1013152f0bb3,2025-02-16 12:35:23,Christian Oliff,"Docs: Simplify ids for checks, radios and switches (#41228)

Co-authored-by: Julien Déramond <juderamond@gmail.com>",False
0f13e1c2e7acb17fd17d49ef61ef33edc2285fd8,2025-02-12 23:16:50,Simmon Li,"Docs: clarify `hide.bs.modal` event behavior and add prevention details (#38411)

Co-authored-by: Julien Déramond <juderamond@gmail.com>",False
c5be828d99a43e871572e205d41badeac1d1f70f,2025-02-09 15:20:20,Mohamad Salman,"Docs: fix clipboard icon visibility issue after multiple clicks (#40917)

Co-authored-by: Julien Déramond <juderamond@gmail.com>",False
b7f3d6a6beec5ea5acaa5ccba507e4d653aa0a6a,2025-02-08 23:07:52,Mohamad Salman,"Rename `fixtureId` to `FIXTURE_ID` in `js/tests/helpers` for consistency (#41150)

Co-authored-by: Julien Déramond <juderamond@gmail.com>",False
