Hash,Date,Author,Message,IsMerge
19cbe47ae3db3b4a8940409ab1814ce1a9af3458,2024-09-19 13:14:40,Alissa,"Prefix param with underscore to prevent unused param warning (#1145)

* Prefix param with underscore to prevent unused param warning

* Use Object.values since we don't need key",False
e2d222bd4fb26abded04075c936290715e9ee335,2024-04-28 01:36:22,puxiao,"docs: [Doc]: Update /zh-CN/ (#1067)

* Update api.md

* Update patches.mdx",False
4da2e0d5af3c155ba26af1364a7095366adff6ba,2024-04-28 01:35:41,Mateusz Burzyński,"fix: Make  `applyPatches` to accept  `readonly Patch[]` (#1094)

* Demonstrate possible regression

* Make `Patch[]` arrays `readonly` on the outer bounds

* Limit the change to `applyPatches`

---------

Co-authored-by: Minh Nguyen <2852660+NMinhNguyen@users.noreply.github.com>",False
073d6345fa2d68b9a8214395681ccf8c4daa696e,2024-04-28 01:34:43,Fredrik Vaeng Røtnes,"chore: Fix typo in comment in common.ts (#1113)

* Fix typo in comment in common.ts

* Update src/utils/common.ts

Co-authored-by: Steve Ognibene <steve.ognibene@namely.com>

---------

Co-authored-by: Steve Ognibene <steve.ognibene@namely.com>",False
a3a7d0c4f7f4cafbf4cf6c5eb80efd98a2d8e6a9,2024-04-28 01:34:14,dependabot[bot],"chore(deps): bump express from 4.18.2 to 4.19.2 in /website (#1112)

Bumps [express](https://github.com/expressjs/express) from 4.18.2 to 4.19.2.
- [Release notes](https://github.com/expressjs/express/releases)
- [Changelog](https://github.com/expressjs/express/blob/master/History.md)
- [Commits](https://github.com/expressjs/express/compare/4.18.2...4.19.2)

---
updated-dependencies:
- dependency-name: express
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",False
5a8f6e7bee76407502ca128f95ad25d277c054e3,2024-04-28 01:34:02,Jodo,fix: export lost types (#1116),False
53e3203984058b8e5ce81a67b81c60069481c568,2024-04-28 01:25:48,Michel Weststrate,"feat(performance): Make non-strict mode faster for classes. Addresses #1071

Immer 10.x solved slow iteration for plain JS objects. This update applies the same handling to class instances. In cases this makes class instance handling 3 times faster. Note that this slightly modifies the behavior of Immer with classes in obscure corner cases, in ways that match current documentation, but do not match previous behavior. If you run into issues with this release icmw. class instances, use `setUseStrictShallowCopy(""class_only"")` to revert to the old behavior. For more details see https://immerjs.github.io/immer/complex-objects#semantics-in-detail",True
511ccee3edee4942f81ef6c26b56a4022b6588b4,2024-04-28 01:12:20,Michel Weststrate,introduce StrictMode enum,False
85a8f7b4238014679cda9d5a26c0ae31a7950278,2024-04-28 00:36:26,Michel Weststrate,Introduce `class_only` strict mode setting,False
7f1b3b951f8340dda4f622a20b9b7f2a61f3e85a,2024-04-27 23:38:11,Michel Weststrate,Merge branch 'main' into faster-unstrict-mode,True
97136775900bcabe434275e909ad5621e5c5b58d,2024-04-27 23:37:52,Michel Weststrate,chore: fix git ignore with watchman,False
